year,kury,kaczki,gęsi,liczba porcji materiału zgromadzonych w banku genów,liczba zwierząt (dawców) od których zgromadzono materiał w banku genów
year,hen,ducks,geese,number of portions of material collected in gene bank,numer of animals (donors) from which material was collected in gene bank
2010,7225,1293,3681,7565,31
2011,7210,1277,3716,9315,47
2012,7884,1296,3675,10315,52
2013,8168,1319,3959,11315,57
2014,8207,1314,3981,11915,60
2015,8239,1394,3907,28838,76
2016,8170,1307,4256,30638,85
2017,8137,1373,3979,34511,125
2018,8125,1455,4197,33679,120
