year,w wieku 25-64 lata,w wieku 25-34 lata,w wieku 25-49 lata,w wieku 25-74 lata,w wieku 35-44 lata,w wieku 45-54 lata,w wieku 50-74 lata,w wieku 55-64 lata
year,aged 25-64,aged 25-34,aged 25-49,aged 25-74,aged 35-44,aged 45-54,aged 50-74,aged 55-64
2010,5.2,11.2,7.5,4.6,5.2,2.7,1.2,1.0
2011,4.4,9.8,6.4,3.9,4.2,2.2,0.9,0.8
2012,4.5,9.9,6.5,4.0,4.3,2.3,0.9,0.8
2013,4.3,9.6,6.3,3.8,4.2,2.1,0.9,0.8
2014,4.0,8.4,5.7,3.5,4.2,2.0,1.0,1.0
2015,3.5,7.4,5.0,3.1,3.8,1.9,0.8,0.8
2016,3.7,7.6,5.1,3.3,3.6,2.2,1.0,1.0
2017,4.0,7.7,5.3,3.5,4.1,2.6,1.2,1.2
2018,5.7,9.6,7.5,5.0,6.6,4.3,2.0,1.9
