miasto,2018,2019,2020,2021,2022
Białystok,67.1,67.1,67.1,68.0,68.0
Bydgoszcz,53.2,54.1,55.9,56.4,56.7
Gdańsk,44.5,44.8,46.1,46.7,46.7
Gorzów Wielkopolski,35.2,38.3,41.3,41.5,45.0
Katowice,41.3,41.3,43.9,43.9,43.9
Kielce,52.3,52.5,53.4,52.9,54.5
Kraków,58.5,56.4,56.4,56.5,57.7
Lublin,50.5,51.2,51.2,52.2,52.2
Łódź,69.3,69.6,70.2,69.7,71.4
Olsztyn,46.8,48.4,49.3,49.8,49.9
Opole,31.3,31.7,32.3,32.3,32.0
Poznań,52.2,52.2,52.6,52.4,53.7
Rzeszów,48.5,46.9,50.6,50.5,49.9
Szczecin,41.1,41.1,41.1,41.6,41.6
Toruń,62.2,62.2,61.5,61.1,62.0
Warszawa,84.0,80.2,81.2,82.0,82.7
Wrocław,54.1,53.4,56.0,59.0,56.7
Zielona Góra,14.7,15.2,15.2,13.6,13.9
