województwo,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,11.7,11.7,11.6,11.2,11.2,11.2,11.2,11.2,11.1
dolnośląskie,12.7,12.7,12.6,12.9,12.8,12.8,13.0,13.2,13.2
kujawsko-pomorskie,14.8,14.8,14.8,13.9,13.7,13.0,13.1,13.1,12.9
lubelskie,6.0,6.0,6.0,5.8,5.7,5.7,5.7,5.8,5.7
lubuskie,9.6,9.8,9.9,9.9,10.0,10.0,10.1,10.1,10.1
łódzkie,18.0,17.8,17.0,13.3,13.2,11.8,12.1,11.7,11.5
małopolskie,14.4,14.2,14.6,14.5,14.4,14.5,14.7,14.9,15.0
mazowieckie,12.0,12.0,11.8,11.4,11.5,11.6,11.7,11.7,11.3
opolskie,7.3,7.5,7.5,7.0,7.0,7.0,7.2,7.6,7.8
podkarpackie,8.7,9.0,9.5,10.2,11.4,11.7,11.8,12.3,12.6
podlaskie,9.9,9.9,9.8,9.7,9.7,9.9,9.8,9.7,9.7
pomorskie,15.4,15.4,15.3,15.2,15.2,15.0,15.1,15.2,14.5
śląskie,12.5,12.4,12.4,12.1,11.9,11.9,11.8,11.9,12.0
świętokrzyskie,6.1,6.1,6.2,6.1,6.2,6.3,6.5,6.7,6.7
warmińsko-mazurskie,10.6,10.6,10.2,9.9,9.6,9.5,9.5,9.4,9.5
wielkopolskie,13.0,13.1,12.9,12.8,12.6,13.5,13.2,12.8,12.7
zachodniopomorskie,12.9,12.9,12.7,12.0,11.5,11.8,11.6,11.3,11.1
