województwo,ogółem/miasto/wieś,2015,2023
Polska,ogółem,122.9,119.9
Polska,miasto,1061.9,952.4
Polska,wieś,52.5,52.5
dolnośląskie,ogółem,145.6,144.3
dolnośląskie,miasto,909.9,884.8
dolnośląskie,wieś,50.5,52.9
kujawsko-pomorskie,ogółem,116.1,111.1
kujawsko-pomorskie,miasto,1500.9,1364.6
kujawsko-pomorskie,wieś,49.1,49.1
lubelskie,ogółem,85.2,80.0
lubelskie,miasto,1009.8,885.9
lubelskie,wieś,47.7,45.0
lubuskie,ogółem,72.8,69.7
lubuskie,miasto,762.2,712.3
lubuskie,wieś,27.2,26.7
łódzkie,ogółem,136.9,129.7
łódzkie,miasto,1358.2,1178.3
łódzkie,wieś,54.0,53.2
małopolskie,ogółem,222.1,225.9
maopolskie,miasto,987.5,964.1
małopolskie,wieś,128.5,132.6
mazowieckie,ogółem,150.4,155.0
mazowieckie,miasto,1585.9,1539.7
mazowieckie,wieś,57.2,58.6
opolskie,ogółem,105.8,99.5
opolskie,miasto,676.8,582.9
opolskie,wieś,55.4,51.7
podkarpackie,ogółem,119.2,116.1
podkarpackie,miasto,733.2,670.5
podkarpackie,wieś,75.1,73.7
podlaskie,ogółem,58.9,56.4
podlaskie,miasto,778.3,747.6
podlaskie,wieś,24.3,23.2
pomorskie,ogółem,126.0,120.7
pomorskie,miasto,1392.6,784.4
pomorskie,wieś,47.6,50.3
śląskie,ogółem,370.6,350.3
śląskie,miasto,930.1,850.7
śląskie,wieś,122.4,123.3
świętokrzyskie,ogółem,107.4,99.8
świętokrzyskie,miasto,833.2,651.3
świętokrzyskie,wieś,63.1,58.9
warmińsko-mazurskie,ogółem,59.6,56.2
warmińsko-mazurskie,miasto,1422.0,1297.5
warmińsko-mazurskie,wieś,25.0,23.7
wielkopolskie,ogółem,116.5,116.9
wielkopolskie,miasto,1253.3,1142.1
wielkopolskie,wieś,55.4,58.1
zachodniopomorskie,ogółem,74.7,71.2
zachodniopomorskie,miasto,829.0,755.3
zachodniopomorskie,wieś,25.0,24.3
