województwo,miasto/wieś,2024
Polska,miasto,59.4
dolnośląskie,miasto,67.1
kujawsko-pomorskie,miasto,57.9
lubelskie,miasto,46.2
lubuskie,miasto,64.0
łódzkie,miasto,61.9
małopolskie,miasto,47.8
mazowieckie,miasto,64.8
opolskie,miasto,52.8
podkarpackie,miasto,41.0
podlaskie,miasto,60.7
pomorskie,miasto,62.1
śląskie,miasto,75.7
świętokrzyskie,miasto,45.1
warmińsko-mazurskie,miasto,58.7
wielkopolskie,miasto,52.9
zachodniopomorskie,miasto,67.9
Polska,wieś,40.6
dolnośląskie,wieś,32.9
kujawsko-pomorskie,wieś,42.1
lubelskie,wieś,53.8
lubuskie,wieś,36.0
łódzkie,wieś,38.1
małopolskie,wieś,52.2
mazowieckie,wieś,35.2
opolskie,wieś,47.2
podkarpackie,wieś,59.0
podlaskie,wieś,39.3
pomorskie,wieś,37.9
śląskie,wieś,24.3
świętokrzyskie,wieś,54.9
warmińsko-mazurskie,wieś,41.3
wielkopolskie,wieś,47.1
zachodniopomorskie,wieś,32.1
