województwo,rodzaj linii,2015,2024
Polska,regionalne w km,191483,91466
Polska,podmiejskie w km,351801,273866
Polska,miejskie w km,2092,820
dolnośląskie,regionalne w km,9272,2219
dolnośląskie,podmiejskie w km,27221,21765
dolnośląskie,miejskie w km,135,301
kujawsko-pomorskie,regionalne w km,26568,6304
kujawsko-pomorskie,podmiejskie w km,39944,24476
kujawsko-pomorskie,miejskie w km,131,0
lubelskie,regionalne w km,17814,6079
lubelskie,podmiejskie w km,30667,15208
lubelskie,miejskie w km,20,0
lubuskie,regionalne w km,6238,3438
lubuskie,podmiejskie w km,15883,11737
lubuskie,miejskie w km,62,0
łódzkie,regionalne w km,12600,12651
łódzkie,podmiejskie w km,20231,14509
łódzkie,miejskie w km,100,0
małopolskie,regionalne w km,3023,3007
małopolskie,podmiejskie w km,7422,5292
małopolskie,miejskie w km,89,0
mazowieckie,regionalne w km,30436,5814
mazowieckie,podmiejskie w km,56062,34715
mazowieckie,miejskie w km,476,10
opolskie,regionalne w km,3505,768
opolskie,podmiejskie w km,9771,12982
opolskie,miejskie w km,70,95
podkarpackie,regionalne w km,6137,3931
podkarpackie,podmiejskie w km,18118,20415
podkarpackie,miejskie w km,60,0
podlaskie,regionalne w km,8949,11875
podlaskie,podmiejskie w km,15205,16780
podlaskie,miejskie w km,50,30
pomorskie,regionalne w km,11728,11346
pomorskie,podmiejskie w km,18495,17387
pomorskie,miejskie w km,220,59
śląskie,regionalne w km,6481,1052
śląskie,podmiejskie w km,16019,6578
śląskie,miejskie w km,253,252
świętokrzyskie,regionalne w km,3412,3689
świętokrzyskie,podmiejskie w km,9601,10103
świętokrzyskie,miejskie w km,0,0
warmińsko-mazurskie,regionalne w km,12870,3952
warmińsko-mazurskie,podmiejskie w km,16317,15603
warmińsko-mazurskie,miejskie w km,313,64
wielkopolskie,regionalne w km,12797,4155
wielkopolskie,podmiejskie w km,31262,30621
wielkopolskie,miejskie w km,62,0
zachodniopomorskie,regionalne w km,19653,13886
zachodniopomorskie,podmiejskie w km,19583,15695
zachodniopomorskie,miejskie w km,51,9
