city,2016,2017,2018,2019,2020,2021,2022
Białystok,100.2,100.4,100.5,100.5,99.6,99.1,98.9
Bydgoszcz,99.5,99.1,98.5,97.9,95.3,93.9,92.8
Gdańsk,100.3,100.4,100.9,101.9,105.3,105.2,105.2
Gorzów Wielkopolski,100.2,100.4,100.1,99.9,97.4,95.4,94.1
Katowice,99.4,98.8,98.2,97.6,95.5,94.3,93.4
Kielce,99.8,99.4,98.9,98.4,94.6,93.7,92.8
Kraków,100.6,100.8,101.3,102.4,105.2,105.5,105.5
Lublin,99.9,99.7,99.7,99.7,98.4,97.7,97.2
Łódź,99.4,98.5,97.8,97.0,96.0,94.8,93.9
Olsztyn,99.7,99.8,99.4,99.2,98.4,97.6,97.0
Opole,99.8,107.7,107.7,107.7,107.2,106.6,106.3
Poznań,99.6,99.3,98.9,98.6,101.0,100.5,99.8
Rzeszów,100.8,102.0,103.0,105.5,104.6,105.6,106.1
Szczecin,99.8,99.6,99.2,99.1,97.9,97.2,96.5
Toruń,99.9,99.9,99.7,99.4,98.1,97.2,96.5
Warszawa,100.6,101.2,101.9,102.7,106.7,106.8,106.7
Wrocław,100.3,100.4,100.8,101.1,106.0,106.1,106.0
Zielona Góra,100.4,100.8,101.1,101.8,101.0,100.7,100.4
