city,2015,2016,2017,2018,2019,2020,2021,2022
Warszawa,517,517,517,517,517,517,517,517
Kraków,327,327,327,327,327,327,327,327
Szczecin,301,301,301,301,301,301,301,301
Wrocław,293,293,293,293,293,293,293,293
Łódź,293,293,293,293,293,293,293,293
Zielona Góra,277,277,277,277,277,277,277,278
Gdańsk,262,262,262,262,262,262,262,266
Poznań,262,262,262,262,262,262,262,262
Bydgoszcz,176,176,176,176,176,176,176,176
Katowice,165,165,165,165,165,165,165,165
Opole,97,97,149,149,149,149,149,149
Lublin,147,147,147,147,148,148,148,148
Rzeszów,117,117,120,120,126,126,129,129
Toruń,116,116,116,116,116,116,116,116
Kielce,110,110,110,110,110,110,110,110
Białystok,102,102,102,102,102,102,102,102
Olsztyn,88,88,88,88,88,88,88,88
Gorzów Wielkopolski,86,86,86,86,86,86,86,86
