city,2015,2020,2025
Białystok,2898.1,2885.3,2831.9
Bydgoszcz,2020.9,1926.7,1824.8
Gdańsk,1764.6,1857.3,716.5
Gorzów Wielkopolski,1443.8,1406.0,1324.7
Katowice,1821.6,1739.4,1684.1
Kielce,1806.2,1709.3,1631.0
Kraków,2328.5,2449.2,2498.4
Lublin,2310.5,2272.4,2215.3
Łódź,2390.4,2295.0,2215.3
Olsztyn,1963.6,1932.6,1872.7
Opole,1231.8,856.7,835.9
Poznań,2070.7,2091.5,2039.7
Rzeszów,1597.6,1535.2,1546.0
Szczecin,1349.7,1321.7,1276.6
Toruń,1751.5,1717.9,1666.1
Warszawa,3372.4,3599.4,3609.3
Wrocław,2171.2,2300.4,2297.2
Zielona Góra,498.4,503.5,502.9
