voivodships,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Poland,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
dolnośląskie,17.8,17.8,17.8,17.8,17.8,17.7,17.7,17.8,17.8,17.8
kujawsko-pomorskie,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
lubelskie,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
lubuskie,15.0,15.0,15.0,15.0,15.0,15.0,14.9,14.9,14.9,14.9
łódzkie,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0
małopolskie,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1
mazowieckie,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5
opolskie,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0
podkarpackie,19.8,19.8,19.8,19.8,19.8,19.7,19.7,19.7,19.7,19.7
podlaskie,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9
pomorskie,9.7,9.7,9.7,9.7,9.7,9.7,9.7,10.3,10.3,10.3
śląskie,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6
świętokrzyskie,13.4,13.4,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
warmińsko-mazurskie,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
wielkopolskie,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2
zachodniopomorskie,18.6,18.6,18.6,18.6,18.6,18.6,18.7,18.7,18.7,18.7
