voivodships,total/city/rural area,2015,2022
Poland,total,122.9,120.8
Poland,city,1061.9,999.9
Poland,rural area,52.5,52.6
dolnośląskie,total,145.6,144.8
dolnośląskie,city,909.9,894.9
dolnośląskie,rural area,50.5,52.8
kujawsko-pomorskie,total,116.1,111.7
kujawsko-pomorskie,city,1500.9,1377.5
kujawsko-pomorskie,rural area,49.1,49.1
lubelskie,total,85.2,80.6
lubelskie,city,1009.8,897.8
lubelskie,rural area,47.7,45.2
lubuskie,total,72.8,70.1
lubuskie,city,762.2,718.3
lubuskie,rural area,27.2,26.7
łódzkie,total,136.9,130.5
łódzkie,city,1358.2,1230.8
łódzkie,rural area,54.0,53.4
małopolskie,total,222.1,225.8
maopolskie,city,987.5,988.3
małopolskie,rural area,128.5,132.3
mazowieckie,total,150.4,155.0
mazowieckie,city,1585.9,1573.6
mazowieckie,rural area,57.2,58.5
opolskie,total,105.8,100.1
opolskie,city,676.8,588.2
opolskie,rural area,55.4,51.8
podkarpackie,total,119.2,116.5
podkarpackie,city,733.2,675.1
podkarpackie,rural area,75.1,73.9
podlaskie,total,58.9,56.6
podlaskie,city,778.3,751.6
podlaskie,rural area,24.3,23.2
pomorskie,total,126.0,128.6
pomorskie,city,1392.6,1370.9
pomorskie,rural area,47.6,51.1
śląskie,total,370.6,352.4
śląskie,city,930.1,862.4
śląskie,rural area,122.4,123.2
świętokrzyskie,total,107.4,100.6
świętokrzyskie,city,833.2,664.6
świętokrzyskie,rural area,63.1,59.6
warmińsko-mazurskie,total,59.6,56.5
warmińsko-mazurskie,city,1422.0,1308.1
warmińsko-mazurskie,rural area,25.0,23.8
wielkopolskie,total,116.5,117.1
wielkopolskie,city,1253.3,1151.2
wielkopolskie,rural area,55.4,57.8
zachodniopomorskie,total,74.7,71.6
zachodniopomorskie,city,829.0,764.4
zachodniopomorskie,rural area,25.0,24.4
