voivodships,city/rural area,2023
Poland,city,59.5
dolnośląskie,city,67.4
kujawsko-pomorskie,city,57.9
lubelskie,city,46.1
lubuskie,city,64.1
łódzkie,city,61.8
małopolskie,city,47.9
mazowieckie,city,64.6
opolskie,city,52.7
podkarpackie,city,41.0
podlaskie,city,60.8
pomorskie,city,62.3
śląskie,city,75.8
świętokrzyskie,city,45.1
warmińsko-mazurskie,city,58.9
wielkopolskie,city,53.0
zachodniopomorskie,city,68.0
Poland,rural area,40.5
dolnośląskie,rural area,32.6
kujawsko-pomorskie,rural area,42.1
lubelskie,rural area,53.9
lubuskie,rural area,35.9
łódzkie,rural area,38.2
małopolskie,rural area,52.1
mazowieckie,rural area,35.4
opolskie,rural area,47.3
podkarpackie,rural area,59.0
podlaskie,rural area,39.2
pomorskie,rural area,37.7
śląskie,rural area,24.2
świętokrzyskie,rural area,54.9
warmińsko-mazurskie,rural area,41.1
wielkopolskie,rural area,47.0
zachodniopomorskie,rural area,32.0
