target_id,goal,indicator_id,indicator
1.1.1,1,1.1.1,"At -risk of poverty rate according to international poverty line"
1.2.1,1,1.2.1,"At-risk of poverty rate after social transfers"
1.2.2,1,1.2.2,"At-risk of living conditions poverty"
1.3.1.a,1,1.3.1.a,"Share of unemployed persons receiving unemployment benefits in total number of unemployed persons"
1.3.1.b,1,1.3.1.b,"Share of post-working age persons receiving retirement in total post-working age population"
1.4.1,1,1.4.1,"Percentage of households with an access to basic sanitation and water supply"
1.4.2,1,1.4.2,"Proportion of total adult population with secure tenure rights to land, with legally recognized documentation and who perceive their rights to land as secure, by sex and by type of tenure"
1.5.1,1,1.5.1,"Number of deaths or affected by construction disaster per 1 million people"
1.5.2,1,1.5.2,"Direct disaster economic loss in relation to global GDP"
1.5.3,1,1.5.3,"Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030"
1.5.4,1,1.5.4,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies"
1.a.1,1,1.a.1,"Proportion of resources allocated by the government directly to poverty reduction programmes"
1.a.2,1,1.a.2,"Share of general government spending on essential services (education, health and social protection, according to COFOG) in total general government spending"
1.a.3,1,1.a.3,"Sum of total grants and non-debt-creating inflows directly allocated to poverty reduction programmes as a proportion of GDP"
1.b.1,1,1.b.1,"Proportion of government recurrent and capital spending going to sectors that disproportionately benefit women, poor and vulnerable groups"
2.1.1,2,2.1.1,"Prevalence of undernourishment"
2.1.2,2,2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale"
2.2.1,2,2.2.1,"Prevalence of stunting (height for age &lt -2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age"
2.2.2,2,2.2.2,"Prevalence of malnutrition among children under 5 years of age (weight for height&gt +2 or &lt -2 standard deviation from the median of the WHO Child Growth Standards), by type (wasting and overweight)"
2.3.1,2,2.3.1,"Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size"
2.3.2,2,2.3.2,"Average income of small-scale food producers, by sex and indigenous status"
2.4.1,2,2.4.1,"Proportion of agricultural area under productive and sustainable agriculture"
2.5.1.a,2,2.5.1.a,"Number of plant genetic resources for food and agriculture secured in gene banks collections (as of 31.XII)"
2.5.1.b,2,2.5.1.b,"Number of animal genetic resources for food and agriculture secured in gene banks collections"
2.5.2,2,2.5.2,"Proportions of breeds classified as being at risk and not being at risk of extinction in the total population covered by protection programme of the animal genetic resources in Poland"
2.a.1,2,2.a.1,"The agriculture orientation index (AOI) for government expenditures"
2.a.2,2,2.a.2,"Official Development Assistance to the agriculture sector"
2.b.1,2,2.b.1,"Agricultural export subsidies"
2.c.1,2,2.c.1,"Indicator of food price anomalies"
3.1.1,3,3.1.1,"Maternal mortality ratio"
3.1.2,3,3.1.2,"Proportion of live births attended by skilled health personnel"
3.2.1,3,3.2.1,"Under-five mortality rate"
3.2.2,3,3.2.2,"Neonatal mortality rate"
3.3.1,3,3.3.1,"Number of new HIV infections"
3.3.2,3,3.3.2,"Tuberculosis incidence per 100 thous. population"
3.3.3,3,3.3.3,"Malaria incidence"
3.3.4,3,3.3.4,"Hepatitis B incidence per 100 thous. population"
3.3.5,3,3.3.5,"Number of cases of the selected tropical diseases"
3.4.1,3,3.4.1,"Deaths by diseases of the circulatory system, diabetes mellitus, malignant neoplasms and chronic respiratory disease per 100 thous. population"
3.4.2,3,3.4.2,"Suicide mortality rate (per 100 thous. population)"
3.5.1,3,3.5.1,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders"
3.5.2,3,3.5.2,"Consumption of alcohol per capita"
3.6.1,3,3.6.1,"Death rate due to road traffic injuries per 100 thous. population"
3.7.1,3,3.7.1,"Percentage of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods"
3.7.2,3,3.7.2,"Adolescent birth rate"
3.8.1,3,3.8.1,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, noncommunicable diseases and service capacity and access, among the general and the most disadvantaged population)"
3.8.2,3,3.8.2,"Propotion of population with large household expenditures on health as a share of total household expenditure or income."
3.9.1,3,3.9.1,"Mortality rate attributed to household and ambient air pollution"
3.9.2,3,3.9.2,"Mortality rate attributed to unsafe water unsafe sanitation and lack of hygiene (exposure to unsafe WASH services)"
3.9.3,3,3.9.3,"Deaths by accidental poisoning by and exposure to alcohol"
3.a.1,3,3.a.1,"Daily smoking among persons aged 15 years and older"
3.b.1,3,3.b.1,"Proportion of the target population covered by all vaccines included in their national programme"
3.b.2,3,3.b.2,"Total net official development assistance to medical research and basic health sectors"
3.b.3,3,3.b.3,"Proportion of health facilities that have a core set of relevant essential medicines available and affordable on sustainable basis"
