year,recykling,kompostowanie lub fermentacja,przekształcenia termiczne,składowanie
year,recycling,composting or fermentation,incineration,landfilling
2010,14.82,1.50,0.32,66.80
2011,9.70,1.73,0.37,69.26
2012,10.30,1.67,0.42,66.91
2013,13.27,1.88,6.78,61.95
2014,21.10,5.42,15.10,58.38
2015,26.39,6.09,13.25,54.29
2016,27.84,6.99,19.44,45.74
2017,26.73,7.08,24.41,41.77
2018,26.18,8.11,24.13,41.58
2019,25.03,9.04,22.90,43.03
2020,26.68,12.03,21.52,39.78
2021,26.92,13.34,21.01,38.73
2022,26.72,14.15,21.07,38.06
