year,Aglomeracja Białostocka,Aglomeracja Bydgoska,Aglomeracja Górnośląska,Aglomeracja Krakowska,Aglomeracja Lubelska,Aglomeracja Łódzka,Aglomeracja Poznańska,Aglomeracja Rybnicko-Jastrzębska,Aglomeracja Szczecińska,Aglomeracja Trójmiejska,Aglomeracja Warszawska,Aglomeracja Wrocławska,Aglomeracja Białostocka_,Aglomeracja Bydgoska_,Aglomeracja Górnośląska_,Aglomeracja Krakowska_,Aglomeracja Lubelska_,Aglomeracja Łódzka_,Aglomeracja Poznańska_,Aglomeracja Rybnicko-Jastrzębska_,Aglomeracja Szczecińska_,Aglomeracja Trójmiejska_,Aglomeracja Warszawska_,Aglomeracja Wrocławska_
year,Agglomeration of Bialystok,Agglomeration of Bydgoszcz,Upper Silesian Agglomeration,Cracow Agglomeration,Lublin Agglomeration,Lodz Agglomeration,Poznan Agglomeration,Rybnicko Jastrzębska Agglomeration,Szczecin Agglomeration,Tri-City Agglomeration,Warsaw Agglomeration,Wrocław Agglomeration,Agglomeration of Bialystok_,Agglomeration of Bydgoszcz_,Upper Silesian Agglomeration_,Cracow Agglomeration_,Lublin Agglomeration_,Lodz Agglomeration_,Poznan Agglomeration_,Rybnicko Jastrzębska Agglomeration_,Szczecin Agglomeration_,Tri-City Agglomeration_,Warsaw Agglomeration_,Wrocław Agglomeration_
2010,27.7,29.6,50.5,65.9,32,42.7,38,57.7,31.2,25.4,38,54.9,23.7,27.7,42.5,50.9,25.1,26.2,,44.3,19.3,20.3,30.9,34.8
2011,30.5,36,51.9,64.7,32.5,40.5,39,51,28.3,23.4,37.6,45.5,27.1,17.4,36.7,45.1,23.2,27.5,27.5,33.0,18.8,18.2,28,30.3
2012,29.4,29.8,48.4,56.9,29.4,38.8,32.9,51.2,24.2,20.6,37.5,38.8,23.5,20.4,35.8,41.7,22.4,27.1,24.4,32.6,16.2,16.2,25.8,28.8
2013,24.9,34.9,44.9,51.1,29.5,38.1,26.9,49.1,22.9,19,33.3,36.4,19.9,20.9,34.8,37.4,21.4,26.8,22.0,31.4,15.4,13.4,26,29.1
2014,27.4,38.8,45.3,53.1,32.1,38.2,32.5,47.2,26.9,23.2,33.7,35.2,20.7,21.8,35.6,36.6,23.0,26.5,26.0,28.0,20.3,16.8,26.2,25.9
2015,27.1,33,41.9,54.9,32.9,35.5,31.5,44.3,24.1,20.8,33.2,32.6,20.3,18.9,30.3,36.9,24.8,24.1,24.0,28.0,17.3,13.5,22.9,25.7
2016,21.9,32.2,40.6,43.7,28.0,34.0,30.5,44.7,23.6,18.9,32.2,30.2,18.2,18.8,31.1,32.4,22.9,22.4,24.0,29.0,17.4,11.5,22.7,24.8
2017,22.1,34.7,43.8,44.2,29.7,37.6,28.0,46.7,21.9,18.8,34.3,29.5,17.3,19.0,33.7,33.4,21.4,27.5,22.0,29.0,16.7,11.8,24.4,22.2
2018,25.2,37.7,41.3,42.4,30.6,37.3,30.4,47.7,24.5,24.8,34.5,30.5,17.7,24.7,32.7,32.3,21.7,26.2,21.9,30.8,19.3,15.7,22.4,22.3
