year,ogółem,mężczyźni,kobiety,ogółem_,mężczyźni_,kobiety_,gwałt,czerpanie zysku z cudzego nierządu,seksualne wykorzystanie małoletniego,seksualne wykorzystanie zależności
year,total,males,women,total_,men_,women_,rape,reaping a profit from the another person's prostitution,sexual abuse of juvenile,sexual reliance abuse
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,,,,,,,,,,
2016,1429,212,1214,1034,153,879,84,4,1274,67
2017,1424,201,1200,1193,168,1025,116,,1247,54
2018,1475,198,1233,1379,195,1178,159,,1259,57
