year,Sejm RP,Senat RP,21-29 lat,30-39 lat,40-49 lat,50-59 lat,60 lat i więcej,21-29 lat_,30-39 lat_,40-49 lat_,50-59 lat_,60 lat i więcej_
year,Sejm of the Republic of Poland,Senate of the Republic of Poland,21-29 years,30-39 years,40-49 years,50-59 years,60 years and over,21-29 years_,30-39 years_,40-49 years_,50-59 years_,60 years and over_
2010,,,,,,,,,,,,
2011,23.9,13.0,2.2,18.3,28.7,35.7,15.2,0.0,4.0,19.0,45.0,32.0
2012,,,,,,,,,,,,
2013,,,,,,,,,,,,
2014,,,,,,,,,,,,
2015,27.4,13.0,3.7,17.4,24.6,33.3,21.1,0.0,6.0,18.0,39.0,37.0
2016,,,,,,,,,,,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,28.7,24.0,3.0,17.4,26.1,29.8,23.7,0.0,4.0,18.0,31.0,47.0
