year,PKB na 1 mieszkańca (ceny bieżące),dynamika PKB (w cenach stałych),dynamika cen towarów i usług konsumpcyjnych,stopa inwestycji,dług sektora instytucji rządowych i samorządowych w relacji do PKB,wynik sektora instytucji rządowych i samorządowych w relacji do PKB
year,GDP per capita in PLN (current prices),indices of GDP (constant prices),indices of prices of consumer goods and services,investment rate,general government debt in relation to GDP,general government result in relation to GDP
2010,37240,103.4,102.6,19.7,54.0,-7.5
2011,40327,105.0,104.3,20.5,55.1,-5.0
2012,41852,101.5,103.7,19.6,54.8,-3.8
2013,42339,100.9,100.9,19.0,57.1,-4.3
2014,44189,103.8,100.0,20.1,51.4,-3.7
2015,46768,104.4,99.1,20.4,51.3,-2.6
2016,48227,103.0,99.4,18.5,54.2,-2.4
2017,51606,105.1,102.0,17.6,50.6,-1.5
2018,55359,105.9,101.6,18.7,48.7,-0.2
2019,59618,104.5,102.3,18.9,45.7,-0.7
2020,61231,98.0,103.4,18.3,57.2,-6.9
2021,69263,106.9,105.1,16.8,53.6,-1.8
2022,81379,105.1,114.4,16.7,49.1,-3.7
