year,gęsi,kaczki,kury,bydło od którego pobrano materiał genetyczny do banku genów,materiał genetyczny bydła w banku genów
year,geese,ducks,hens,cattle whose genetic material is stored in gene bank,genetic material from cattle in gene bank
2010,7225,1293,3681,7565,31
2011,7210,1277,3716,9315,47
2012,7884,1296,3675,10315,52
2013,8168,1319,3959,11315,57
2014,8207,1314,3981,11915,60
2015,8239,1394,3907,28838,76
2016,8170,1307,4256,30638,85
2017,8137,1373,3979,34511,125
2018,8125,1455,4197,33679,120
