year,kopiowanie lub przenoszenie pliku lub folderu,używanie polecenia kopiowania i wklejania w celu powielenia lub przemieszczenia wybranych fragmentów dokumentu,korzystanie z podstawowych funkcji matematycznych w arkuszu kalkulacyjnym,instalowanie nowych urządzeń, przenoszenie plików pomiędzy komputerem a innymi urządzeniami,zmienianie lub sprawdzanie ustawień programów,tworzenie prezentacji elektronicznej za pomocą oprogramowania prezentacyjnego,wysyłanie e-maila z załącznikami,kopiowanie lub przenoszenie pliku lub folderu_,używanie polecenia wklejania w celu powielania lub przemieszczania wybranych fragmentów_,korzystanie z podstawowych funkcji matematycznych w arkuszu kalkulacyjnym_,instalowanie nowych urządzeń_,przenoszenie plików pomiędzy komputerem a innymi urządzeniami_,zmienianie lub sprawdzanie ustawień programów_,tworzenie prezentacji elektronicznej za pomocą oprogramowania prezentacyjnego_,wysyłanie e-maila z załącznikami_
year,copying or moving a file or folder,using copy and paste tools to duplicate or move information within a document,using the basic math functions in a spreadsheet,installing new devices,transferring files between a computer and other devices,changing or checking program settings,creating electronic presentations with presentation software,sending e-mail with attachments,copying or moving a file or folder_,using copy and paste tools to duplicate or move information within a document_,using the basic math functions in a spreadsheet_,installing new devices_,transferring files between a computer and other devices_,changing or checking program settings_,creating electronic presentations with presentation software_,sending e-mails with attachements_
2010,50.1,44.1,31.2,32.1,,,,45.8,91.3,83.3,63.5,66.2,,,,84.9
2011,52.0,45.5,33.3,33.8,30.9,19.4,16.5,46.8,93.7,85.4,69.7,70.4,66.0,44.4,46.6,84.3
2012,52.5,46.6,33.0,35.1,36.5,21.7,20.0,51.1,91.6,83.5,65.1,69.1,73.8,46.3,53.3,86.8
2013,52.5,47.3,34.1,34.9,36.7,22.1,19.1,51.5,93.4,85.2,67.9,70.7,72.3,45.6,50.1,86.2
2014,54.9,50.2,36.1,38.5,39.7,25.2,21.6,52.9,93.6,87.6,70.4,74.8,78.2,52.4,56.2,84.4
2015,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
