year,dla osiągnięć w matematyce pod koniec szkoły gimnazjalnej,dla osiągnięć w czytaniu pod koniec szkoły gimnazjalnej,dla uczestnictwa w wychowaniu przedszkolnym dzieci w wieku 6 lat
year,for achievement in mathematics at the end of lower secondary school,for achievement in reading at the end of lower secondary school,for participation in pre-primary education of children in aged 6
2010,,,1.01
2011,,,1.00
2012,1.01,1.00,1.00
2013,,,1.00
2014,,,1.00
2015,0.97,1.13,1.00
2016,,,1.00
2017,,,1.00
2018,,,
