year,ogółem,mężczyźni,kobiety,16-24 lata,25-34 lata,35-44 lata,45-54 lata,55-65 lat,ogółem_,mężczyźni_,kobiety_,16-24 lata_,25-34 lata_,35-44 lata_,45-54 lata_,55-65 lat_
year,total,males,females,16-24 years,25-34 years,35-44 years,45-54 years,55-65 years,total_,males_,females_,16-24 years_,25-34 years_,35-44 years_,45-54 years_,55-65 years_
2010,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,
2013,81.0,78.7,83.8,90.3,86.5,82.8,76.1,71.0,76.0,76.2,76.9,83.2,82.2,77.8,73.3,66.2
2014,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
