year,ogółem,mężczyźni,kobiety,miasto,wieś,10-14 lat,15-19 lat,20-24 lata,25-34 lata,35-44 lata,45-54 lata,55-64 lata,65 lat i więcej
year,total,males,females,urban areas,rural areas,10-14 years,15-19 years,20-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65 years and more
2010,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
2013,14.0,9.8,17.9,13.6,14.6,3.5,5.3,9.6,15.7,15.2,13.8,15.2,15.3
2014,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2019,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
2021,,,,,,,,,,,,,
2022,,,,,,,,,,,,,
2023,15.0,11.2,18.2,14.2,16.5,4.9,5.0,10.4,16.4,16.1,13.9,15.0,15.8
