year,Sejm RP,Senat RP,Wójt/burmistrz/prezydent miasta,Rady gmin,Rady miast na prawach powiatów,Rady powiatów,Sejmiki województw
year,Sejm of the Republic of Poland,Senate of the Republic of Poland,Village mayor/mayor/president of city,Gmina councils,City councils in cities with powiat status,Powiat councils,Voivodship regional councils
2010,,,9.4,25.4,24.7,18.7,23.6
2011,23.9,13.0,9.4,25.6,25.2,19.0,25.2
2012,,,9.6,25.7,25.5,19.1,24.9
2013,,,9.6,25.7,25.7,19.3,25.0
2014,,,10.9,27.3,26.3,20.8,23.7
2015,27.4,13.0,10.9,27.4,26.5,21.1,25.1
2016,,,10.7,27.5,27.2,21.5,25.2
2017,,,10.9,27.6,27.0,21.6,25.6
2018,,,12.0,30.6,29.3,23.9,29.0
2019,28.7,24.0,12.1,30.8,29.8,24.2,28.9
2020,,,12.2,31.0,32.6,24.4,29.2
2021,,,12.4,31.2,30.4,24.6,29.5
2022,,,12.2,31.3,30.7,24.8,29.8
2023,29.4,19.0,12.4,31.4,30.7,25.2,30.6
2024,,,16,34.6,35.1,28.2,31.2
