year,ogółem,przedstawiciele władz publicznych oraz wyżsi urzędnicy i dyrektorzy generalni,przedstawiciele władz publicznych i wyżsi urzędnicy,dyrektorzy generalni i zarządzający,kierownicy do spraw zarządzania i handlu,kierownicy do spraw produkcji i usług,kierownicy w branży hotelarskiej i handlu oraz innych branżach usługowych
year,total,chief executives and senior officials and legislators,legislators and senior officials,managing directors and chief executives,administrative and commercial managers,production and specialized services managers,hospitality and retail or other services managers
2010,45.3,27.6,45.3,25.4,60.7,38.3,55.5
2011,,,,,,,
2012,45.2,28.2,41.9,26.9,59.2,37.3,58.7
2013,,,,,,,
2014,45.3,28.6,42.3,27.3,58.7,36.4,61.1
2015,,,,,,,
2016,45.8,28.8,40.3,27.8,57.3,36.7,63.7
2017,,,,,,,
2018,46.3,30.8,41.4,29.8,56.8,36.1,65.7
2019,,,,,,,
2020,45.0,31.4,42.7,30.3,55.4,35.1,58.9
