year,energia elektryczna,ciepło z sieci,ciepła woda z sieci,gaz ziemny,gaz ciekły (propoan-butan),olej opałowy,energia słoneczna,pompa ciepła,energia elektryczna_,ciepło z sieci_,ciepła woda z sieci_,gaz ziemny_,gaz ciekły (propan-butan)_,olej opałowy_,energia słoneczna_,pompa ciepła_
year,electrical energy,heat from network,hot water from network,natural gas,liquified gas (propane and butane),heating oil,solar energy,heat pump,electrical energy_,heat from network_,hot water from network_,natural gas_,liquified gas (propane and butane)_,heating oil_,solar energy_,heat pump_
2010,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,
2012,74.84,41.54,26.85,53.49,38.93,0.45,,,67.13,x,x,51.63,38.69,x,,
2013,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,
2015,79.30,41.67,29.91,55.11,36.08,0.35,1.77,0.08,72.70,x,x,52.58,35.98,x,x,x
2016,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
