year,ogółem,mężczyźni,kobiety,15-24 lata,25-34 lata,35-44 lata,45-54 lata,55 lat i więcej,ogółem_
year,total,males,females,15-24 years,25-34 years,35-44 years,45-54 years,55 years and more,total_
2010,10.0,9.7,10.3,24.0,10.0,7.1,8.1,7.2,15.9
2011,9.7,9.3,10.7,26.1,10.1,6.9,8.0,6.9,16.1
2012,10.4,9.7,11.2,26.8,10.7,7.6,8.2,7.4,16.7
2013,10.6,10.0,11.4,27.6,11.1,8.1,8.2,7.7,18.3
2014,9.2,8.7,9.8,24.1,9.8,6.9,7.3,6.7,15.7
2015,7.7,7.5,7.8,20.9,8.2,5.7,6.2,5.3,12.9
2016,6.3,6.2,6.3,17.8,6.8,4.7,4.7,4.2,11.2
2017,4.9,4.9,4.9,14.9,5.1,3.8,3.9,3.5,8.6
2018,3.9,3.9,3.9,11.8,4.2,2.9,2.9,2.6,6.7
2019,3.3,3.1,3.6,9.9,3.7,2.6,2.4,2.2,6.7
2020,3.2,3.1,3.3,10.9,3.8,2.5,2.2,2.0,4.8
2021,3.4,3.3,3.4,11.9,3.9,2.7,2.3,2.2,6.0
