year,transport kolejowy,transport samochodowy,transport morski,śródlądowy transport wodny,transport lotniczy
year,railway transport,road transport,maritime transport fleet,transport by inland waterway fleet,air transport
2010,261314,569652,671,1397,4990
2011,263609,534885,637,1519,6491
2012,273182,497288,642,1515,7170
2013,269815,459947,606,1540,7648
2014,268204,431516,611,1579,7788
2015,277321,416774,597,1762,7288
2016,291981,390410,632,2024,8779
2017,303001,378610,644,1262,11846
2018,309722,336511,632,1395,13850
