year,transport kolejowy,transport samochodowy,transport rurociągowy,transport morski,śródlądowy transport wodny,transport lotniczy
year,railway transport,road transport,pipeline transport,maritime transport fleet,transport by inland waterway fleet,air transport
2010,234568,1491253,56208,8362,5141,41
2011,248606,1596209,54482,7737,5093,45
2012,230878,1493386,52985,7476,4579,41
2013,232596,1553050,50656,6965,5044,37
2014,227820,1547883,49810,6781,7629,38
2015,224320,1505719,54850,6963,11928,38
2016,222523,1546572,54058,7248,6210,41
2017,239501,1747266,52393,8254,5778,53
2018,249260,1873022,55287,9149,5107,63
