year,transport kolejowy,transport samochodowy,transport morski,śródlądowy transport wodny,transport lotniczy, transport kolejowy_,transport samochodowy_,transport rurociągowy_,transport morski_,śródlądowy transport wodny_,transport lotniczy_
year,railway transport,road transport,maritime transport fleet,transport by inland waterway fleet,air transport,railway transport_,road transport_,pipeline transport_,maritime transport fleet_,transport by inland waterway fleet_,air transport_
2010,261314,569652,671,1397,4990,234568,1491253,56208,8362,5141,41
2011,263609,534885,637,1519,6491,248606,1596209,54482,7737,5093,45
2012,273182,497288,642,1515,7170,230878,1493386,52985,7476,4579,41
2013,269815,459947,606,1540,7648,232596,1553050,50656,6965,5044,37
2014,268204,431516,611,1579,7788,227820,1547883,49810,6781,7629,38
2015,277321,416774,597,1762,7288,224320,1505719,54850,6963,11928,38
2016,291981,390410,632,2024,8779,222523,1546572,54058,7248,6210,41
2017,303001,378610,644,1262,11846,239501,1747266,52393,8254,5778,53
2018,309722,336511,632,1395,13850,249260,1873022,55287,9149,5107,63
