year,ogółem,osoby w wieku 0-17 lat,osoby w wieku 18-64 lata,osoby w wieku 65 lat i więcej,miasto,wieś,pracownicy,rolnicy,pracujący na własny rachunek,emeryci,renciści,co najwyżej gimnazjalne,zasadnicze zawodowe,średnie,wyższe
year,total,persons aged 0-17,persons aged 18-64,persons aged 65 and more,urban area,rural area,employees,farmers,the self-employed,retirees,pensioners,not higher than lower secondary,basic vocational,secondary,tertiary
2010,17.4,23.7,,12.0,,,,,,,,,,,
2011,16.9,23.1,15.9,11.2,11.4,25.4,15.6,29.3,10.0,12.5,26.4,32.9,23.6,11.2,2.5
2012,16.3,22.0,15.5,10.7,11.0,24.5,15.3,26.4,7.9,11.9,25.8,32.4,22.7,10.6,2.6
2013,16.2,21.8,16.5,9.9,11.2,24.0,14.9,26.7,9.2,11.4,26.3,32.3,23.0,10.8,3.1
2014,16.2,21.8,15.5,10.6,11.0,24.4,15.2,28.0,8.9,12.1,25.5,33.3,23.0,11.2,2.9
2015,15.5,20.6,14.8,10.6,10.0,24.0,14.4,28.9,8.9,11.4,23.2,32.2,22.4,10.8,2.7
2016,13.9,16.4,13.9,10.3,9.5,20.8,12.5,26.5,8.3,10.9,21.8,28.3,20.1,9.9,3.4
2017,13.4,15.3,13.3,11.0,9.0,20.4,11.9,25.8,8.5,11.9,20.0,27.2,20.0,9.7,3.6
2018,14.2,16.2,14.1,11.5,8.7,22.7,12.9,27.7,8.9,12.0,21.8,28.0,20.8,11.2,4.5
2019,13.0,14.3,12.8,11.8,8.0,20.8,12.0,25.9,7.6,11.3,19.0,26.2,18.9,10.4,4.6
2020,11.8,13.4,11.7,10.0,6.6,19.9,10.7,28.7,7.9,9.6,17.3,23.3,17.8,10.5,4.4
