year,ogółem,miasto,wieś,1 osobowe,bez dzieci na utrzymaniu,z dziećmi na utrzymaniu ogółem,z 1 dzieckiem,z 2 dzieci,z 3 i więcej dzieci,samotnych rodziców z dziećmi na utrzymaniu
year,total,urban area,rural area,1-person,no dependent children,with dependent children,with 1 child,with 2 children,with 3 or more children,single parents with dependent children
2010,31.1,,,,,,,,,
2011,31.1,,,,,,,,,
2012,30.9,,,,,,,,,
2013,30.7,,,,,,,,,
2014,30.8,,,,,,,,,
2015,30.6,,,,,,,,,
2016,29.8,,,,,,,,,
2017,29.2,,,,,,,,,
2018,27.8,,,,,,,,,
2019,28.5,,,,,,,,,
