year,ogółem,transport,elektroenergetyka,ciepłownictwo i chłodnictwo
year,total,transport,electricity,heating and cooling
2010,9.28,6.640,6.549,11.666
2011,10.34,6.918,8.078,13.240
2012,10.96,6.533,10.610,13.497
2013,11.45,6.666,10.676,14.265
2014,11.61,6.319,12.360,14.237
2015,11.88,5.686,13.401,14.795
2016,11.40,3.974,13.342,14.919
2017,11.06,4.232,13.082,14.779
2018,14.94,5.720,13.027,21.473
2019,15.38,6.200,14.356,22.005
2020,16.10,6.575,16.237,22.143
2021,15.60,5.674,17.167,20.978
2022,16.64,5.791,21.009,22.095
2023,16.65,6.339,25.793,20.610
2024,17.77,6.033,30.370,21.287
