year,ogółem,16-24 lata,25-34 lata,35-44 lata,45-54 lata,55-64 lata,65-74 lata
year,total,16-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years
2010,28.1,31.5,47.6,37.6,26.2,13.5,4.1
2011,27.6,27.9,46.2,36.9,26.3,15.7,5.0
2012,31.6,36.8,50.6,45.3,28.7,17.2,6.8
2013,22.6,20.2,39.0,35.2,21.5,12.7,3.7
2014,26.9,23.9,46.0,40.1,26.2,15.5,6.6
2015,26.6,20.8,45.0,38.6,26.0,18.3,6.0
2016,30.2,20.5,48.1,40.5,30.0,19.8,8.7
2017,30.8,22.4,48.1,45.0,28.0,18.8,8.4
2018,35.5,29.5,53.0,49.6,35.0,22.4,10.9
2019,40.4,29.8,58.6,57.6,41.4,28.5,12.2
2020,41.9,30.9,59.9,59.4,45.1,29.4,13.5
2021,47.5,35.6,68.3,65.9,51.7,35.0,15.8
2022,55.4,42.1,75.2,75.6,62.4,39.5,23.6
2023,58.5,44.0,81.0,78.3,65.7,44.4,26.1
2024,61.0,47.7,81.2,81.1,68.8,50.8,27.4
2025,61.1,48.9,81.8,78.3,69.9,51.4,27.6
