year,gęsi,kaczki,kury,bydło od którego pobrano materiał genetyczny do banku genów,materiał genetyczny bydła w banku genów
year,geese,ducks,hens,cattle whose genetic material is stored in gene bank,genetic material from cattle in gene bank
2010,3681,1293,7225,31,7565
2011,3716,1277,7210,47,9315
2012,3675,1296,7884,52,10315
2013,3959,1319,8168,57,11315
2014,3981,1314,8207,60,11915
2015,3907,1394,8239,76,28838
2016,4256,1307,8170,85,30638
2017,3979,1373,8137,125,34511
2018,4197,1455,8125,120,33679
2019,4453,1497,8198,144,37589
