year,ogółem,mężczyźni,kobiety,miasto,wieś
year,total,males,females,urban area,rural area
2010,240.4,277.9,205.3,254.3,218.8
2011,239.3,276.4,204.5,253.1,217.9
2012,245.9,282.5,211.4,262.0,220.9
2013,244.4,280.1,211.0,261.5,218.3
2014,248.3,282.9,215.9,266.1,221.2
2015,261.6,299.1,226.4,282.7,229.6
2016,260.1,297.2,225.4,278.5,232.3
2017,259.3,293.5,227.3,280.5,227.4
2018,263.9,297.9,232.1,285.6,231.3
2019,261.3,292.8,231.9,282.7,229.2
2020,261.6,294.4,230.8,283.1,229.5
2021,246.5,275.4,219.5,266.0,217.6
