year,ogółem,mężczyźni,kobiety,miasto,wieś,15-19 lat,20-29 lat,30-39 lat,40-49 lat,50-59 lat,60-69 lat,70-79 lat,80 lat i więcej
year,total,males,females,urban area,rural area,15-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80 years and more
2010,28.2,25.3,30.8,32.7,20.9,26.8,25.9,24.4,26.8,32.0,34.3,31.1,23.1
2011,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
2014,33.6,30.4,36.2,38.0,26.6,81.0,27.6,28.0,28.3,32.3,35.9,35.5,25.5
2015,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
