year,ogółem,miasto,wieś,kobiety,mężczyźni,0-4 lata,5-9 lat,10-14 lat,15-19 lat,20-29 lat,30-39 lat,40-49 lat,50-59 lat,60-69 lat,70-79 lat,80 lat i więcej
year,total,urban area,rural area,females,males,0-4 years,5-9 years,10-14 years,15-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80 years and more
2010,20.0,23.5,14.6,19.7,20.5,4.5,10.1,14.5,17.4,20.0,24.4,21.2,20.9,22.0,27.7,24.4
2011,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,
2014,19.5,23.4,13.5,19.1,19.9,3.8,7.7,12.4,14.7,19.1,23.0,21.7,20.4,23.1,27.5,27.0
2015,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2019,19.0,22.7,13.4,18.3,19.8,3.6,8.7,7.7,14.0,17.2,20.7,23.3,20.3,21.8,27.9,25.6
