year,ogółem,kobiety,mężczyźni,miasto,wieś,w wieku 16-24 lata,w wieku 25-34 lata,w wieku 35-44 lata,w wieku 45-54 lata,w wieku 55-64 lata,w wieku 65-74 lata,niższe,średnie,wyższe,aktywni zawodowo,pracujący,bezrobotni,bierni zawodowo
year,total,females,males,urban area,rural area,aged 16-24,aged 25-34,aged 35-44,aged 45-54,aged 55-64,aged 65-74,tertiary,secondary,primary,economically active,employed,unemployed,economically inactive
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,21,20,22,23,21,36,34,28,17,8,3,19,11,42,25,26,12,12
