year,ogółem,stałe paliwa kopalne,gaz ziemny,ropa naftowa i produkty ropopochodne
year,total,solid fossil fuels,natural gas,oil and petroleum products
2010,31.56,-4.96,69.31,98.20
2011,34.01,-1.00,75.10,96.83
2012,31.61,-6.44,73.40,96.62
2013,26.24,-10.17,74.20,93.53
2014,29.40,-8.57,71.97,95.45
2015,29.83,-11.44,72.21,99.50
2016,30.74,-11.70,78.38,94.95
2017,38.26,-2.96,77.77,98.60
2018,43.52,8.23,77.60,98.77
2019,45.25,6.02,82.37,97.34
2020,42.78,0.33,78.25,96.86
2021,40.46,-3.61,83.57,96.39
2022,46.12,7.96,81.22,98.36
2023,48.00,5.01,81.31,96.83
2024,45.67,-6.90,78.67,100.07
