year,ogółem,mężczyźni,kobiety,15-24 lata,15-64 lata,w wieku 18-59/64,20-24 lata,20-64 lata,50-89 lat,55-64 lata,65-69 lat,miasto,wieś,wyższe,policealne oraz średnie zawodowe,średnie ogólnokształcące,zasadnicze zawodowe,gimnazjalne lub podstawowe lub bez formalnego wykształcenia
year,total,males,females,aged 15-24,aged 15-64,aged 18-59/64,aged 20-24,aged 20-64,aged 50-89,aged 55-64,aged 65-69,urban area,rural area,tertiary,post-secondary and secondary vocational,general secondary,basic vocational,lower secondary or primary or without formal education
2010,48.3,55.6,41.5,26.0,57.0,62.5,44.1,62.2,28.2,31.5,7.1,50.0,45.5,76.9,59.7,41.0,53.0,13.5
2011,48.6,56.1,41.7,24.5,57.5,63.1,41.8,62.5,29.2,34.3,7.4,50.3,45.8,76.4,59.8,40.8,52.6,13.5
2012,48.9,56.3,42.0,24.3,58.0,63.7,41.3,62.9,29.7,36.1,7.8,50.5,46.3,76.1,59.4,41.5,51.5,13.5
2013,48.9,56.4,42.0,23.9,58.4,64.1,40.5,63.2,30.0,38.3,7.8,50.4,46.6,76.1,58.5,41.8,50.6,13.0
2014,50.1,57.7,43.2,25.5,60.2,66.0,43.3,64.9,30.8,40.5,8.6,51.7,47.8,76.8,58.9,43.4,51.4,13.3
2015,51.1,58.5,44.2,25.7,61.6,67.3,44.1,66.3,31.5,42.5,8.8,52.5,48.8,77.6,59.1,43.9,52.0,13.8
2016,52.1,59.8,45.1,28.1,63.5,69.3,47.9,68.2,31.8,44.5,9.2,53.3,50.4,78.2,60.2,45.7,52.2,13.7
2017,53.2,61.2,46.0,29.4,65.3,71.2,50.3,70.0,32.6,46.9,10.3,54.2,51.8,78.6,60.2,47.6,52.8,14.2
2018,53.9,61.7,46.6,30.8,66.6,72.8,53.3,71.4,32.4,47.7,10.0,54.9,52.3,79.2,59.5,49.3,52.7,14.5
2019,54.1,62.4,46.5,31.7,67.5,73.8,55.5,72.3,32.2,48.3,10.4,55.0,52.9,79.1,59.2,49.9,51.7,15.2
2020,54.0,62.3,46.3,28.2,67.8,74.0,50.1,72.7,32.6,50.4,10.9,54.6,53.0,78.7,58.1,49.2,51.3,14.7
2021,55.8,63.8,48.5,27.3,70.3,76.6,49.3,75.4,34.7,54.7,11.5,56.0,55.5,79.7,59.8,51.0,53.2,16.5
