year,ogółem,kobiety,mężczyźni,miasto,wieś
year,total,females,males,urban area,rural area
2010,26.1,26.5,25.8,25.6,27.0
2011,32.3,33.2,31.4,31.9,32.8
2012,35.5,36.3,34.8,35.6,35.4
2013,37.3,37.9,36.8,37.2,37.6
2014,37.1,36.8,37.2,37.8,35.9
2015,32.9,31.8,33.7,33.0,32.7
2016,27.9,27.3,28.5,27.4,28.6
2017,24.2,22.4,25.6,23.5,25.1
2018,20.6,19.7,21.3,20.2,21.1
2019,15.3,14.3,16.2,14.8,16.0
2020,14.5,13.6,15.2,11.6,18.3
2021,18.3,19.4,17.4,17.7,19.6
2022,21.7,20.8,22.5,20.6,23.4
2023,18.3,16.7,19.8,18.8,17.7
2024,18.6,19.5,17.8,17.1,20.7
