year,ogółem,kobiety,mężczyźni,miasto,wieś,osoby w wieku 15-24 lata,w wieku 18-59/64 lat,osoby w wieku 50 lat i więcej,w wieku 16 lat i więcej
year,total,females,males,urban area,rural area,aged 15-24,aged 18-59/64,aged 50 and more,aged 16 and more
2010,55.3,47.6,63.7,55.2,55.5,34.6,71.6,32.7,16.9
2011,55.5,47.8,64.0,55.4,55.7,33.5,72.1,33.6,17.0
2012,55.9,48.1,64.3,55.7,56.1,33.6,72.9,34.0,17.4
2013,55.9,48.2,64.4,55.8,56.1,33.3,73.5,34.2,17.3
2014,56.2,48.5,64.7,56.2,56.3,33.9,74.3,34.3,17.4
2015,56.2,48.4,64.6,56.3,56.0,32.8,74.5,34.4,16.5
2016,56.2,48.3,64.8,56.2,56.2,34.5,75.2,34.1,16.3
2017,56.4,48.4,65.2,56.4,56.5,34.8,75.9,34.4,17.6
2018,56.3,48.5,64.9,56.5,56.2,35.1,76.6,33.8,17.3
2019,56.2,48.2,65.0,56.2,56.2,35.2,77.1,33.4,17.1
2020,56.1,47.9,65.1,55.9,56.3,31.8,77.4,33.7,17.5
