target_id,goal,indicator_id,indicator
1.1.a,1,1.1.a.0,"Stopa ubóstwa relatywnego"
1.1.b,1,1.1.b.0,"Realny dochód do dyspozycji brutto gospodarstw domowych na 1 mieszkańca (2008=100)"
1.2.a,1,1.2.a.0,"Liczba centrów integracji społecznej, zakładów aktywności zawodowej i warsztatów terapii zajęciowej na 100 tys. ludności"
1.2.b,1,1.2.b.0,"Liczba uczestników  w centrach integracji społecznej, zakładach aktywności zawodowej i warsztatach terapii zajęciowej na 100 tys. ludności"
1.3.a,1,1.3.a.0,"Odsetek dzieci w wieku 1-3 lata objętych różnymi formami opieki instytucjonalnej"
1.4.a,1,1.4.a.0,"Liczba mieszkań przypadających na 1000 ludności"
2.1.a,2,2.1.a.0,"Wskaźnik kształtowania się wydatków rządowych w rolnictwie (AOI)"
2.1.b,2,2.1.b.0,"Nakłady na B+R w dziedzinie rolnictwa w relacji do PKB"
2.1.c,2,2.1.c.0,"Udział powierzchni użytków rolnych w gospodarstwach rolnych o powierzchni użytków rolnych powyżej 30 ha w powierzchni użytków rolnych ogółem w gospodarstwach rolnych"
2.2.a,2,2.2.a.0,"Udział powierzchni ekologicznych użytków rolnych z certyfikatem w gospodarstwach ekologicznych w powierzchni użytków rolnych ogółem w gospodarstwach rolnych"
2.2.b,2,2.2.b.0,"Odsetek próbek artykułów rolno-spożywczych o niewłaściwej jakości handlowej"
2.3.a,2,2.3.a.0,"Udział w dochodach wiejskich gospodarstw domowych dochodów z pracy najemnej i pracy na własny rachunek"
2.4.a,2,2.4.a.0,"Wartość eksportu artykułów rolno-spożywczych w przeliczeniu na 1 mieszkańca"
2.4.b,2,2.4.b.0,"Udział towarów rolno-spożywczych w polskim eksporcie ogółem"
2.5.a,2,2.5.a.0,"Odsetek długości dróg publicznych o nawierzchni twardej ulepszonej na terenach zamiejskich"
2.6.a,2,2.6.a.0,"Liczba zasobów genetycznych roślin dla wyżywienia i rolnictwa zabezpieczonych w kolekcjach banków genów"
2.6.b,2,2.6.b.0,"Liczba zasobów genetycznych zwierząt dla wyżywienia i rolnictwa zabezpieczonych w kolekcjach banków genów"
2.7.a,2,2.7.a.0,"Odsetek osób w wieku 18 lat i więcej cierpiących na otyłość"
2.7.b,2,2.7.b.0,"Odsetek dzieci w wieku 5-9 lat cierpiących na otyłość"
3.1.a,3,3.1.a.0,"Oczekiwane lata życia w zdrowiu mężczyzn"
3.1.b,3,3.1.b.0,"Oczekiwane lata życia w zdrowiu kobiet"
3.1.c,3,3.1.c.0,"Liczba zgonów w wyniku chorób układu krążenia na 100 tys. ludności"
3.1.d,3,3.1.d.0,"Liczba zgonów w wyniku nowotworów złośliwych na 100 tys. ludności"
3.1.e,3,3.1.e.0,"Liczba zgonów w wyniku cukrzycy na 100 tys. ludności"
3.1.f,3,3.1.f.0,"Liczba zgonów w wyniku przewlekłej choroby dróg oddechowych na 100 tys. ludności"
3.2.a,3,3.2.a.0,"Liczba lekarzy na 10 tys. ludności"
3.2.b,3,3.2.b.0,"Liczba pielęgniarek i położnych na 10 tys. ludności"
3.3.a,3,3.3.a.0,"Odsetek osób w wieku 16 lat i więcej, które zgłosiły, że ich potrzeby w zakresie usług opieki zdrowotnej nie zostały zaspokojone"
3.3.b,3,3.3.b.0,"Odsetek osób, które kiedykolwiek zaszczepiły się przeciw WZW typu B"
3.3.c,3,3.3.c.0,"Odsetek osób, które kiedykolwiek zaszczepiły się przeciw grypie"
3.4.a,3,3.4.a.0,"Odsetek kobiet w wieku 15 lat i więcej, którym kiedykolwiek wykonano badanie mammograficzne"
