OKRES;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
POLSKA;1427063;1416015;1285312;1196479;1105853;1034175;1118069;1119246;1115800;1008127;821901;678957;552745;452903
DOLNOŚLĄSKIE;83329;82016;72350;66466;59882;54159;59260;60070;62395;56964;43232;34746;28615;23220
KUJAWSKO-POMORSKIE;92177;90211;81975;75960;69815;64931;69133;68749;67946;61930;51521;42766;35189;29219
LUBELSKIE;103558;103622;95406;89051;82853;77895;82921;81724;78372;69706;58919;48586;39415;32428
LUBUSKIE;39657;40105;35354;31996;28775;26048;27465;27190;27063;24105;18940;15247;12396;9976
ŁÓDZKIE;97595;96359;87827;81626;75474;70388;75713;75651;73964;65798;53202;43226;35025;28974
MAŁOPOLSKIE;134597;132299;121003;113560;105999;99946;107272;107295;106874;97908;81425;69237;57441;47049
MAZOWIECKIE;160857;159033;146261;138942;131100;124829;137021;138493;139479;126847;103178;85136;69663;57150
OPOLSKIE;26481;26745;23430;21738;19862;18160;20599;20826;20868;18513;14409;11542;9643;7673
PODKARPACKIE;106476;104664;94802;88028;81426;76725;81991;79906;76956;69130;58029;48668;40102;32293
PODLASKIE;50931;51094;46548;43469;40771;38367;41311;41515;40930;36364;30573;25343;20935;17705
POMORSKIE;83786;84921;78284;73519;67862;63258;67541;68246;69832;64677;53118;44559;37568;31396
ŚLĄSKIE;105872;108784;98089;92263;85989;80816;90082;93311;96611;87229;66414;53390;43661;34808
ŚWIĘTOKRZYSKIE;62541;61323;55980;51779;47982;44960;48618;47789;45811;40496;33343;27461;22270;18137
WARMIŃSKO-MAZURSKIE;70353;69987;63346;58382;53376;49576;52723;52123;51041;46087;37811;31292;25893;21481
WIELKOPOLSKIE;145081;140696;127109;117015;107384;101156;111313;111857;113514;102769;86521;72316;53962;44306
ZACHODNIOPOMORSKIE;63772;64156;57548;52685;47303;42961;45106;44501;44144;39604;31266;25442;20967;17088
