REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,2722199,2507919,2285810,2125987,1968057,1855482,2025588,2025532,2038166,1873376,1580946,1358023,1152773,960393
DOLNOŚLĄSKIE,155951,140972,125742,115886,104939,96830,107658,109455,113694,104310,83648,70192,59574,49194
KUJAWSKO-POMORSKIE,170292,157463,143689,133251,123057,115692,124448,124436,124459,115388,99155,86023,73283,61968
LUBELSKIE,196522,182628,167845,155944,145668,138352,147617,145193,140861,127821,111468,95463,80557,66855
LUBUSKIE,76298,68724,61240,55682,50378,46196,49576,49311,49637,45136,37147,31102,26169,21163
ŁÓDZKIE,174706,162076,148428,138300,127857,120136,131540,130622,131053,116345,97634,81858,68605,57058
MAŁOPOLSKIE,265172,247390,227070,211443,196946,187112,202504,201621,203429,190934,164145,145701,124295,103616
MAZOWIECKIE,312421,288743,265734,251356,236571,226650,250563,251531,254960,234136,197333,169131,142622,118984
OPOLSKIE,52671,46989,41280,38285,34892,32372,37267,38026,38878,35273,28681,23866,20281,16532
PODKARPACKIE,206342,189100,171719,158595,146191,137893,148879,145680,142160,130857,112723,97838,83773,68453
PODLASKIE,101230,93306,84925,78709,73427,69401,75672,75896,75508,68422,59652,51255,43870,37531
POMORSKIE,168708,157543,145815,137247,127219,120106,129463,130526,134470,126919,108914,95526,83198,71363
ŚLĄSKIE,209836,191132,173717,163898,153761,145713,166311,171983,179855,165262,131878,112166,94036,76949
ŚWIĘTOKRZYSKIE,112132,103207,94087,86644,79975,75401,82040,80286,77897,70353,59563,50727,42458,35016
WARMIŃSKO-MAZURSKIE,132962,122523,111474,102943,94513,88383,94722,93745,93082,86014,73574,63501,54158,45732
WIELKOPOLSKIE,267335,246753,224657,207672,191314,180248,197540,198323,198806,183560,155559,132811,112730,94072
ZACHODNIOPOMORSKIE,119621,109370,98388,90132,81349,74997,79788,78898,79417,72646,59872,50863,43164,35907
