year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,37.6,30.7,41.9,46.9,39.0,39.3,40.0,31.6,30.2,47.9,44.2,36.9,26.2,47.9,45.8,39.1,37.5
2011,35.1,28.1,39.4,44.5,35.6,37.0,37.7,29.3,27.6,44.8,41.8,34.7,24.2,45.1,43.1,36.4,34.9
2012,32.2,25.2,36.2,41.3,31.9,34.1,34.8,27.0,24.5,41.0,38.4,32.2,22.1,41.6,39.5,33.3,31.7
2013,30.2,23.5,34.1,39.1,29.4,32.2,32.7,25.6,23.1,38.6,36.4,30.5,21.0,39.1,37.1,30.9,29.5
2014,28.3,21.5,31.9,37.2,26.9,30.1,30.7,24.0,21.4,36.2,34.6,28.4,19.9,36.8,34.6,28.6,27.0
2015,26.8,19.9,30.4,35.9,24.9,28.6,29.3,22.9,20.2,34.7,33.2,26.8,18.9,35.3,32.8,27.1,25.1
2016,29.4,22.1,33.0,38.8,26.9,31.5,31.7,25.1,23.5,37.9,36.6,28.8,21.7,39.0,35.7,29.7,27.0
2017,29.3,22.4,33.1,38.5,26.8,31.3,31.5,24.9,24.1,37.3,36.8,28.9,22.4,38.6,35.5,29.6,26.7
2018,29.4,23.1,33.1,37.6,27.0,31.3,31.6,24.9,24.7,36.6,36.7,29.5,23.3,37.7,35.4,29.5,27.0
2019,27.0,21.1,30.9,34.4,24.7,27.9,29.5,22.6,22.5,33.8,33.3,27.6,21.4,34.4,33.0,27.1,24.8
2020,22.6,16.8,26.5,29.8,20.4,23.5,24.9,18.6,18.1,28.5,28.4,23.5,17.2,29.1,28.5,22.7,20.7
2021,19.4,14.0,23.1,25.7,17.1,19.7,22.0,15.9,15.1,24.8,24.5,20.5,14.6,25.0,24.8,19.4,17.7
2022,16.5,11.9,19.9,21.9,14.6,16.6,18.7,13.3,12.9,21.4,21.0,17.8,12.3,21.2,21.4,16.4,15.1
2023,13.9,9.9,17.0,18.5,11.9,14.0,15.7,11.2,10.6,17.7,18.1,15.4,10.2,17.8,18.4,13.8,12.8
