REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,,,,,,,,,,,55.4
DOLNOŚLĄSKIE,,,,,,,,,,,,,,64.5
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,,63.0
LUBELSKIE,,,,,,,,,,,,,,51.6
LUBUSKIE,,,,,,,,,,,,,,53.5
ŁÓDZKIE,,,,,,,,,,,,,,51.5
MAŁOPOLSKIE,,,,,,,,,,,,,,56.4
MAZOWIECKIE,,,,,,,,,,,,,,68.6
OPOLSKIE,,,,,,,,,,,,,,65.5
PODKARPACKIE,,,,,,,,,,,,,,57.3
PODLASKIE,,,,,,,,,,,,,,38.8
POMORSKIE,,,,,,,,,,,,,,60.4
ŚLĄSKIE,,,,,,,,,,,,,,54.5
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,,60.5
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,,56.4
WIELKOPOLSKIE,,,,,,,,,,,,,,40.9
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,,51.4
