year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,94.8,96.9,87.5,100.0,0.0,0.0,93.5,100.0,0.0,96.0,100.0,100.0,100.0,100.0,100.0,0.0,92.0
2011,96.8,98.4,93.9,100.0,0.0,100.0,93.8,100.0,0.0,96.0,100.0,100.0,100.0,100.0,100.0,0.0,96.4
2012,97.9,100.0,93.9,100.0,0.0,100.0,95.8,100.0,0.0,96.2,100.0,100.0,100.0,100.0,100.0,0.0,98.2
2013,98.3,96.9,94.4,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,98.2
2014,99.3,100.0,97.1,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,98.0
2015,98.9,98.4,97.1,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,98.0
2016,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2017,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2018,99.6,100.0,100.0,100.0,0.0,100.0,97.9,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2019,99.6,100.0,100.0,100.0,0.0,100.0,97.9,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2020,99.6,100.0,100.0,100.0,0.0,100.0,97.7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2021,99.6,100.0,100.0,100.0,0.0,100.0,97.7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2022,99.6,100.0,100.0,100.0,0.0,100.0,97.7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
2023,99.6,100.0,100.0,100.0,0.0,100.0,97.6,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
