REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,17.6,17.7,17.1,17.3,17.0,17.6,17.3,15.0,14.8,15.4,14.8,14.8,13.7,14.0
DOLNOŚLĄSKIE,15.9,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.3,9.9,9.0,11.0
KUJAWSKO-POMORSKIE,19.2,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,16.6,20.4,17.7,19.5
LUBELSKIE,30.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,24.4,22.9,22.6,20.4
LUBUSKIE,23.3,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,11.7,12.8,13.3,12.1
ŁÓDZKIE,17.8,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,14.5,14.1,13.2
MAŁOPOLSKIE,17.7,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.7,14.9,13.6,13.5
MAZOWIECKIE,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,15.5,13.9,10.6,11.5
OPOLSKIE,14.7,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,14.4,10.1,12.1,10.7
PODKARPACKIE,24.1,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,19.3,17.6,17.4,15.8
PODLASKIE,13.4,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,22.9,19.6,23.4,26.2
POMORSKIE,15.1,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,10.1,13.1,13.7,12.5
ŚLĄSKIE,12.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,9.5,11.2,7.8,7.6
ŚWIĘTOKRZYSKIE,23.2,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,16.3,13.4,14.8,19.9
WARMIŃSKO-MAZURSKIE,15.1,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,20.1,19.4,20.6,22.4
WIELKOPOLSKIE,17.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,15.6,16.2,14.4,14.9
ZACHODNIOPOMORSKIE,17.4,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,11.9,12.0,13.5,15.2
