year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,17.6,15.9,19.2,30.7,23.3,17.8,17.7,15.0,14.7,24.1,13.4,15.1,12.4,23.2,15.1,17.6,17.4
2011,17.7,12.8,17.9,31.3,25.1,19.1,20.4,14.0,13.4,21.3,16.2,16.8,13.0,25.5,16.5,16.9,17.5
2012,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,15.4,11.0,19.7,26.5,11.6,14.3,16.0,15.2,14.6,19.4,18.8,12.8,10.7,18.1,19.9,14.6,12.7
2020,14.8,11.3,16.6,24.4,11.7,14.3,13.7,15.5,14.4,19.3,22.9,10.1,9.5,16.3,20.1,15.6,11.9
2021,14.8,9.9,20.4,22.9,12.8,14.5,14.9,13.9,10.1,17.6,19.6,13.1,11.2,13.4,19.4,16.2,12.0
2022,13.7,9.0,17.7,22.6,13.3,14.1,13.6,10.6,12.1,17.4,23.4,13.7,7.8,14.8,20.6,14.4,13.5
2023,14.0,11.0,19.5,20.4,12.1,13.2,13.5,11.5,10.7,15.8,26.2,12.5,7.6,19.9,22.4,14.9,15.2
