year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,27,28,25,28,28,26,27,33,27,28,26,27,20,25,30,28,27
2011,28,30,26,29,29,27,28,35,28,29,27,28,21,26,31,30,29
2012,30,32,27,31,31,29,30,37,29,30,28,30,22,28,33,31,31
2013,32,34,28,32,32,30,31,39,30,31,30,31,23,29,34,33,32
2014,33,36,29,33,34,31,33,41,32,33,32,33,24,30,36,34,34
2015,35,39,31,35,36,33,35,43,33,34,33,35,26,33,38,36,36
2016,37,40,32,37,38,35,36,46,35,36,34,37,27,34,39,38,38
2017,38,42,34,38,40,36,38,48,37,37,36,38,29,36,41,40,41
2018,37,40,33,37,38,34,37,44,36,36,34,35,27,35,40,39,39
2019,38,42,34,38,39,35,39,46,38,37,36,37,28,37,41,40,41
2020,40,43,36,40,41,36,40,47,40,38,37,38,30,39,43,41,43
2021,41,44,37,41,43,38,41,49,41,39,38,39,31,40,44,42,45
2022,43,46,39,42,44,39,42,51,43,41,39,41,33,42,45,43,46
2023,46,49,42,46,48,42,45,55,47,44,42,43,35,45,49,46,50
