year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,5.2,5.4,4.2,5.8,4.4,4.1,4.7,7.5,4.9,3.3,5.0,6.4,5.5,4.2,3.8,4.6,4.8
2011,4.4,4.4,3.7,5.0,3.3,3.4,4.1,6.6,4.5,3.0,4.7,5.3,4.5,3.3,3.0,3.7,3.7
2012,4.5,4.5,3.9,5.1,2.9,3.1,4.6,6.9,3.6,3.0,4.1,6.1,4.5,3.3,2.9,3.6,3.1
2013,4.3,4.1,3.9,4.9,2.8,3.1,4.7,6.7,3.1,2.6,3.7,5.8,4.5,3.1,2.8,3.7,3.2
2014,4.0,4.2,3.8,4.5,2.5,2.7,4.2,6.5,2.6,1.9,3.2,5.3,3.7,3.0,2.7,3.3,3.3
2015,3.5,3.7,2.9,3.3,2.5,2.4,3.9,6.1,2.3,1.9,3.3,5.0,3.1,2.5,2.5,2.4,2.6
2016,3.7,4.3,3.3,4.3,2.6,2.8,3.8,5.8,2.6,2.0,3.7,5.5,3.6,2.8,2.4,2.4,2.6
2017,4.0,3.3,3.8,4.3,2.2,2.8,5.8,5.7,3.4,2.1,3.3,5.3,4.5,2.9,2.4,2.8,2.7
2018,5.7,6.1,4.7,6.6,3.7,4.6,6.7,8.6,3.7,3.6,5.2,7.0,6.1,3.2,3.2,4.2,4.4
2019,4.9,6.3,5.2,5.4,2.9,3.1,5.6,7.6,3.1,2.5,4.3,6.0,5.0,2.5,3.1,3.8,3.3
2020,3.8,5.0,3.9,4.4,2.6,2.8,5.0,5.9,2.7,2.0,3.0,4.2,3.4,2.1,2.2,2.7,2.7
2021,5.6,8.6,7.5,6.2,2.8,3.1,8.0,7.4,4.0,3.7,3.7,6.8,4.3,3.1,3.3,4.0,4.0
2022,7.8,11.4,11.4,7.9,2.9,3.6,12.9,9.2,6.7,4.1,7.9,7.7,7.0,3.5,5.5,6.5,5.3
2023,8.7,11.0,12.0,8.0,3.7,3.8,14.6,11.1,5.3,5.2,11.1,9.2,8.5,3.4,7.0,6.1,6.5
