REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,,,,,,,,,,2239,2632
DOLNOŚLĄSKIE,,,,,,,,,,,,,2348,2770
KUJAWSKO-POMORSKIE,,,,,,,,,,,,,2026,2385
LUBELSKIE,,,,,,,,,,,,,2024,2429
LUBUSKIE,,,,,,,,,,,,,2428,2803
ŁÓDZKIE,,,,,,,,,,,,,2392,2873
MAŁOPOLSKIE,,,,,,,,,,,,,2469,2853
MAZOWIECKIE,,,,,,,,,,,,,2152,2454
OPOLSKIE,,,,,,,,,,,,,2403,2916
PODKARPACKIE,,,,,,,,,,,,,2142,2487
PODLASKIE,,,,,,,,,,,,,2083,2540
POMORSKIE,,,,,,,,,,,,,2110,2474
ŚLĄSKIE,,,,,,,,,,,,,2607,3127
ŚWIĘTOKRZYSKIE,,,,,,,,,,,,,2281,2617
WARMIŃSKO-MAZURSKIE,,,,,,,,,,,,,2035,2302
WIELKOPOLSKIE,,,,,,,,,,,,,2047,2471
ZACHODNIOPOMORSKIE,,,,,,,,,,,,,2338,2713
