REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,,,,,,,,,,,,,,89.2,89.8,91.0
Dolnośląskie,,,,,,,,,,,,,,90.1,91.6,92.7
Kujawsko-Pomorskie,,,,,,,,,,,,,,88.7,90.3,90.7
Lubelskie,,,,,,,,,,,,,,87.8,89.0,89.2
Lubuskie,,,,,,,,,,,,,,75.0,78.6,78.6
Łódzkie,,,,,,,,,,,,,,94.4,94.9,94.2
Małopolskie,,,,,,,,,,,,,,94.5,94.9,96.0
Mazowieckie,,,,,,,,,,,,,,90.1,91.1,93.0
Opolskie,,,,,,,,,,,,,,90.7,92.0,92.2
Podkarpackie,,,,,,,,,,,,,,91.1,90.4,91.5
Podlaskie,,,,,,,,,,,,,,84.7,80.3,86.4
Pomorskie,,,,,,,,,,,,,,87.9,87.9,89.4
Śląskie,,,,,,,,,,,,,,89.0,88.4,88.3
Świętokrzyskie,,,,,,,,,,,,,,88.6,91.8,95.4
Warmińsko-Mazurskie,,,,,,,,,,,,,,92.5,93.2,95.3
Wielkopolskie,,,,,,,,,,,,,,84.7,86.7,88.7
Zachodniopomorskie,,,,,,,,,,,,,,86.5,85.0,84.5
