REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,,,111521,116354,108902,95247,82211,66827,61118,57479,55669,60973,59559,60855
Dolnośląskie,,,11066,11168,9929,8268,7140,5609,5094,4893,4619,5022,4901,5147
Kujawsko-Pomorskie,,,6477,6504,6026,5080,4561,3595,3236,2883,2677,3013,2959,2989
Lubelskie,,,4691,5102,5016,4795,4363,3651,3418,3450,3002,3451,3402,3528
Lubuskie,,,4760,4825,4278,3479,2816,2239,2022,1794,1837,1712,1611,1573
Łódzkie,,,10782,11001,10019,8739,7460,5850,5470,5075,4694,5075,4856,4984
Małopolskie,,,8003,8418,8158,7271,5871,4878,4414,4152,4327,4561,4462,4287
Mazowieckie,,,10054,10623,10405,9576,8469,7007,6667,6371,6289,6802,6645,6542
Opolskie,,,2739,2888,2788,2432,2250,1948,1725,1656,1592,1779,1875,1816
Podkarpackie,,,6147,6544,6445,5652,4822,4018,3890,3608,3611,4463,4444,4617
Podlaskie,,,3815,4150,3801,3424,3042,2572,2454,2253,1976,2253,2189,2230
Pomorskie,,,6978,7126,6782,5814,5159,3966,3756,3589,3756,4130,3896,4195
Śląskie,,,12475,12822,11855,10205,8344,6870,5954,5395,5543,5979,5705,5826
Świętokrzyskie,,,4350,4727,4344,4191,3667,3043,2781,2723,2565,2844,2791,2942
Warmińsko-Mazurskie,,,5843,6536,5921,5148,4767,4111,3660,3345,3037,3499,3388,3471
Wielkopolskie,,,8480,9067,8524,7249,6088,4645,4072,3930,3908,4061,4135,4350
Zachodniopomorskie,,,4861,4853,4611,3924,3392,2825,2505,2362,2236,2329,2300,2358
