year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,18.2,15.4,20.3,17.1,25.0,22.2,13.3,15.9,22.2,14.6,16.7,19.6,18.5,24.4,14.4,21.7,15.2
2011,18.7,15.2,22.0,18.4,24.5,24.6,15.6,16.9,20.5,14.0,20.4,19.3,17.8,21.6,16.5,20.4,15.6
2012,19.6,18.3,23.6,19.0,26.8,25.3,15.4,18.2,23.8,16.1,24.5,21.3,18.3,23.3,16.4,19.7,14.4
2013,19.2,19.0,24.8,18.4,26.7,22.8,14.1,15.1,20.0,18.6,20.8,21.1,18.4,20.9,17.0,21.2,16.3
2014,20.0,19.9,25.2,16.2,27.8,22.8,15.3,17.6,20.5,16.9,19.2,23.1,19.3,22.0,16.2,22.5,20.0
2015,20.1,21.3,21.7,16.1,28.1,20.0,14.1,19.4,20.0,16.1,20.4,26.7,20.0,23.9,20.4,20.7,14.9
2016,21.2,25.0,22.7,16.9,30.9,21.8,14.4,17.6,21.1,19.2,18.5,28.1,23.0,25.0,21.9,22.1,16.5
2017,23.8,24.8,24.6,19.5,32.1,27.5,19.6,19.7,25.0,23.1,18.5,30.3,25.5,23.9,23.2,24.7,18.9
2018,23.7,23.5,23.1,18.7,35.1,32.3,17.8,21.4,28.6,21.9,18.9,31.1,24.3,20.0,21.5,21.7,22.9
2019,24.5,27.8,21.4,18.6,35.1,29.9,20.3,27.2,18.8,22.2,21.2,30.8,27.1,23.4,20.2,21.3,20.7
2020,26.1,34.0,24.1,19.4,35.4,28.3,26.2,26.1,0.0,21.6,22.6,30.8,27.0,28.8,19.5,22.8,22.1
2021,29.0,35.9,26.2,19.0,34.7,35.0,29.2,26.5,34.3,27.1,25.5,33.1,28.7,32.8,25.4,28.6,23.5
2022,30.3,34.4,32.1,24.2,37.3,36.9,24.8,27.4,33.3,28.9,25.5,36.0,32.0,34.5,25.4,27.1,28.6
2023,30.5,38.2,31.4,24.5,38.6,33.6,21.4,31.4,31.6,30.0,25.6,36.6,33.7,35.0,23.3,25.0,24.2
