REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
POLSKA,,,,934863,,886667,868517,,840373,,806666,,778752,
DOLNOŚLĄSKIE,,,,129168,,120708,117257,,111099,,104226,,97918,
KUJAWSKO-POMORSKIE,,,,44801,,43077,43389,,42135,,40236,,39490,
LUBELSKIE,,,,21764,,21357,20982,,20368,,19942,,19272,
LUBUSKIE,,,,29613,,28198,27446,,26011,,24833,,23613,
ŁÓDZKIE,,,,93351,,86191,83193,,80619,,76567,,70823,
MAŁOPOLSKIE,,,,35174,,33034,32307,,30971,,31013,,30405,
MAZOWIECKIE,,,,128100,,125663,125194,,124267,,122674,,121440,
OPOLSKIE,,,,23721,,22614,21981,,21322,,21142,,20357,
PODKARPACKIE,,,,17230,,16586,16150,,15275,,14768,,14165,
PODLASKIE,,,,16352,,15506,15160,,14490,,13685,,13194,
POMORSKIE,,,,55975,,54937,53538,,51854,,49958,,48064,
ŚLĄSKIE,,,,181586,,167830,164967,,161425,,156077,,151237,
ŚWIĘTOKRZYSKIE,,,,13192,,12301,11870,,11321,,10935,,10664,
WARMIŃSKO-MAZURSKIE,,,,33174,,31545,30778,,28636,,26990,,25317,
WIELKOPOLSKIE,,,,55459,,53488,52100,,50864,,49552,,48211,
ZACHODNIOPOMORSKIE,,,,56203,,53632,52205,,49716,,44068,,44582,
