REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Polska,,,,,,,,,,,,,2239,2632,3087,3341
Dolnośląskie,,,,,,,,,,,,,2348,2770,3322,3509
Kujawsko-Pomorskie,,,,,,,,,,,,,2026,2385,2827,3056
Lubelskie,,,,,,,,,,,,,2024,2429,2854,3030
Lubuskie,,,,,,,,,,,,,2428,2803,3327,3633
Łódzkie,,,,,,,,,,,,,2392,2873,3380,3687
Małopolskie,,,,,,,,,,,,,2469,2853,3435,3682
Mazowieckie,,,,,,,,,,,,,2152,2454,2883,3116
Opolskie,,,,,,,,,,,,,2403,2916,3380,3625
Podkarpackie,,,,,,,,,,,,,2142,2487,2938,3168
Podlaskie,,,,,,,,,,,,,2083,2540,2878,3150
Pomorskie,,,,,,,,,,,,,2110,2474,2808,3049
Śląskie,,,,,,,,,,,,,2607,3127,3655,3988
Świętokrzyskie,,,,,,,,,,,,,2281,2617,3030,3242
Warmińsko-Mazurskie,,,,,,,,,,,,,2035,2302,2679,2882
Wielkopolskie,,,,,,,,,,,,,2047,2471,2836,3120
Zachodniopomorskie,,,,,,,,,,,,,2338,2713,3242,3628
