REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,ogółem,0.55,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.59,0.59
Dolnośląskie,ogółem,0.75,0.75,0.75,0.75,0.76,0.76,0.78,0.81,0.81,0.79,0.80,0.81,0.83,0.83
Kujawsko-Pomorskie,ogółem,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.46,0.46,0.47,0.47
Lubelskie,ogółem,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.26,0.26,0.26,0.26
Lubuskie,ogółem,0.36,0.36,0.36,0.36,0.37,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.41,0.41
Łódzkie,ogółem,0.48,0.48,0.49,0.50,0.50,0.50,0.51,0.52,0.52,0.52,0.52,0.53,0.54,0.54
Małopolskie,ogółem,1.14,1.13,1.14,1.15,1.14,1.15,1.16,1.17,1.16,1.17,1.18,1.20,1.20,1.21
Mazowieckie,ogółem,0.35,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.39,0.39,0.39,0.39,0.39,0.39
Opolskie,ogółem,0.42,0.43,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.44,0.44,0.45,0.47,0.48
Podkarpackie,ogółem,1.78,1.79,1.80,1.81,1.80,1.80,1.79,1.80,1.81,1.88,1.85,1.85,1.85,1.86
Podlaskie,ogółem,0.19,0.18,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21
Pomorskie,ogółem,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.49,0.49,0.49,0.50,0.49,0.47
Śląskie,ogółem,1.34,1.35,1.37,1.34,1.35,1.36,1.39,1.35,1.36,1.36,1.38,1.40,1.40,1.40
Świętokrzyskie,ogółem,0.24,0.25,0.26,0.26,0.25,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.31,0.31
Warmińsko-Mazurskie,ogółem,0.30,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29
Wielkopolskie,ogółem,0.48,0.48,0.48,0.49,0.51,0.50,0.52,0.53,0.52,0.52,0.52,0.52,0.53,0.54
Zachodniopomorskie,ogółem,0.41,0.41,0.41,0.41,0.41,0.42,0.43,0.43,0.44,0.44,0.45,0.45,0.44,0.44
Polska,miasto,4.58,4.58,4.61,4.6,4.64,4.62,4.72,4.73,4.74,4.77,4.78,4.8,4.8,4.64
Dolnośląskie,miasto,4.47,4.45,4.48,4.48,4.51,4.55,4.78,4.99,5.04,4.84,4.92,4.98,5.19,5.17
Kujawsko-Pomorskie,miasto,7.80,7.85,7.86,8.07,8.07,7.92,8.03,8.04,7.98,8.02,7.42,7.40,7.36,7.38
Lubelskie,miasto,3.63,3.72,3.75,3.83,3.84,3.89,3.81,3.81,3.81,3.80,3.88,3.85,3.81,3.79
Lubuskie,miasto,4.83,4.79,4.78,4.79,4.89,4.21,4.24,4.26,4.30,4.28,4.30,4.30,4.21,4.21
Łódzkie,miasto,5.63,5.56,5.73,5.73,5.74,5.75,5.82,6.03,5.97,5.97,5.92,5.93,6.01,5.85
Małopolskie,miasto,4.89,4.79,4.82,4.89,4.90,4.92,5.04,5.07,5.11,5.19,5.30,5.45,5.43,5.70
Mazowieckie,miasto,4.26,4.39,4.41,4.29,4.32,4.32,4.47,4.58,4.66,4.62,4.59,4.52,4.55,4.46
Opolskie,miasto,3.17,3.27,3.27,3.21,3.22,3.04,3.08,2.90,2.82,2.85,2.85,2.89,3.04,3.05
Podkarpackie,miasto,3.35,3.43,3.43,3.43,3.30,3.38,3.41,3.41,3.44,4.48,4.50,4.42,4.39,4.48
Podlaskie,miasto,2.35,2.35,2.47,2.51,2.59,2.57,2.66,2.65,2.62,2.64,2.63,2.76,2.72,2.73
Pomorskie,miasto,5.55,5.62,5.60,5.62,5.74,5.84,5.98,6.01,6.03,6.04,6.05,6.12,6.05,3.51
Śląskie,miasto,3.75,3.76,3.81,3.72,3.74,3.75,3.85,3.69,3.72,3.72,3.78,3.84,3.80,3.76
Świętokrzyskie,miasto,2.77,2.87,2.89,2.89,2.72,2.67,2.70,2.68,2.60,2.43,2.41,2.44,2.42,2.42
Warmińsko-Mazurskie,miasto,8.73,8.05,8.06,7.93,7.91,7.93,8.11,8.13,8.29,8.07,8.05,8.22,8.36,8.38
Wielkopolskie,miasto,5.95,5.94,5.96,5.94,6.34,6.21,6.37,6.39,6.33,6.36,6.38,6.18,6.14,6.19
Zachodniopomorskie,miasto,5.03,5.05,5.07,5.03,5.01,5.17,5.27,5.14,5.28,5.26,5.30,5.31,5.17,5.15
Polska,wieś,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Dolnośląskie,wieś,0.29,0.29,0.29,0.29,0.29,0.29,0.30,0.30,0.30,0.30,0.30,0.29,0.30,0.30
Kujawsko-Pomorskie,wieś,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Lubelskie,wieś,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.10,0.11,0.11,0.11,0.11
Lubuskie,wieś,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Łódzkie,wieś,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15
Małopolskie,wieś,0.68,0.69,0.69,0.69,0.68,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.65
Mazowieckie,wieś,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Opolskie,wieś,0.18,0.18,0.18,0.18,0.18,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.22,0.22
Podkarpackie,wieś,1.67,1.68,1.69,1.69,1.69,1.68,1.67,1.68,1.69,1.68,1.65,1.65,1.66,1.66
Podlaskie,wieś,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Pomorskie,wieś,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15
Śląskie,wieś,0.27,0.29,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.31,0.31,0.32,0.32,0.33
Świętokrzyskie,wieś,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.12,0.13,0.14,0.14,0.15,0.15,0.16
Warmińsko-Mazurskie,wieś,0.09,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Wielkopolskie,wieś,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.21
Zachodniopomorskie,wieś,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12
