year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,268.9,145.4,103.3,159.5,87.5,114.5,147.9,525.9,108.3,127.7,65.9,88.6,86.4,1078.5,88.6,447.3,935.2,191.0,88.1,99.8,148.8,57.5,55.2,233.9,284.9,83.3,213.2,54.4,108.4,84.5,50.2,73.0,709.8,290.7,389.9,279.2,108.8,168.9,139.9,219.6,64.5,958.3,135.8,67.5,83.1,50.1,93.2,1926.9,111.5,112.6,2362.3
2011,277.2,146.4,105.4,161.6,86.1,121.1,148.6,514.7,107.8,130.3,66.9,97.1,86.5,1061.1,89.4,521.9,983.9,207.9,87.9,101.4,156.3,57.9,55.0,255.7,289.4,85.4,229.0,54.3,121.2,85.0,54.3,73.2,847.4,314.2,384.5,282.2,111.5,166.3,135.1,238.0,45.1,918.5,132.5,60.4,86.0,50.8,91.6,1888.0,113.0,111.0,2468.0
2012,268.6,141.0,106.8,156.8,90.2,119.6,151.0,519.8,108.5,113.2,69.9,88.3,85.0,1007.3,86.6,491.0,919.9,201.6,83.1,94.4,149.3,58.2,54.3,261.1,285.8,85.0,200.5,53.2,108.9,82.5,54.8,73.8,792.8,345.7,371.6,274.2,125.6,163.2,145.4,234.1,45.3,939.2,134.3,51.7,95.3,49.3,93.7,1785.9,105.3,113.6,2185.2
2013,262.5,136.1,104.2,163.5,87.0,112.5,141.7,507.9,105.6,119.0,69.2,82.2,84.2,964.2,84.2,498.0,874.8,197.7,78.4,91.9,159.1,56.3,53.3,245.6,275.6,85.5,211.2,52.0,99.6,80.5,53.3,71.7,809.2,305.1,361.7,267.4,122.8,167.4,139.8,215.7,42.7,923.9,127.4,54.1,95.5,49.4,96.6,1704.8,102.4,112.8,2125.7
2014,266.2,135.7,106.3,153.6,86.1,104.2,135.7,550.9,108.6,115.5,71.7,82.0,83.1,1045.0,86.6,479.7,835.0,194.4,78.3,93.9,150.6,55.9,51.9,229.7,276.2,83.8,201.9,53.3,98.8,80.1,51.8,78.7,776.9,319.2,375.7,265.4,124.9,156.1,137.8,194.5,46.7,1044.5,135.6,54.6,99.8,50.7,93.4,1848.4,98.0,113.7,1969.2
2015,261.6,135.8,107.0,147.7,82.5,111.2,139.3,521.4,122.8,125.3,73.5,86.9,82.6,1063.0,85.9,433.4,865.7,185.7,77.8,95.4,153.2,55.7,53.9,234.5,236.8,89.6,232.4,53.8,105.9,82.4,53.1,80.0,699.8,329.9,377.1,266.2,124.2,143.1,132.4,209.4,49.5,1033.3,158.6,50.0,103.6,52.4,83.1,1879.7,94.5,107.7,2037.3
2016,263.8,138.4,113.9,147.2,84.5,105.7,142.9,513.0,132.7,111.0,73.8,87.5,81.4,1129.3,83.6,472.6,816.7,187.0,78.0,100.1,151.8,56.7,53.7,241.5,231.4,88.6,193.8,53.9,105.7,80.9,52.6,77.4,760.2,293.2,380.3,273.1,134.2,143.1,136.2,194.4,50.3,1019.8,180.3,53.0,104.3,54.8,82.9,1995.8,92.5,123.8,1958.0
2017,251.3,131.3,114.9,142.8,79.0,107.5,141.1,486.6,132.9,108.8,71.4,82.3,83.6,1121.7,83.8,405.0,785.4,174.5,68.8,101.4,147.9,56.5,54.2,237.9,224.6,118.9,188.2,54.4,99.5,83.7,50.2,78.8,639.4,272.9,367.4,269.5,134.7,138.4,120.6,197.7,50.4,958.4,148.6,53.2,97.7,51.7,83.5,1986.6,90.9,122.2,1907.9
2018,245.6,136.5,116.1,137.8,79.7,110.1,139.9,456.3,134.2,105.7,74.9,85.9,82.1,1224.1,83.7,390.0,700.2,173.7,81.3,101.5,142.7,59.3,56.5,234.9,229.7,129.2,178.8,57.2,103.9,81.8,52.3,79.2,615.7,259.8,354.0,257.8,137.4,133.5,117.6,200.1,51.4,865.8,139.9,54.7,102.5,54.3,83.2,2180.8,90.3,120.5,1661.7
