year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Polska_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Polska__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland_,Dolnośląskie_,Kujawsko-Pomorskie_,Lubelskie_,Lubuskie_,Łódzkie_,Małopolskie_,Mazowieckie_,Opolskie_,Podkarpackie_,Podlaskie_,Pomorskie_,Śląskie_,Świętokrzyskie_,Warmińsko-Mazurskie_,Wielkopolskie_,Zachodniopomorskie_,Poland__,Dolnośląskie__,Kujawsko-Pomorskie__,Lubelskie__,Lubuskie__,Łódzkie__,Małopolskie__,Mazowieckie__,Opolskie__,Podkarpackie__,Podlaskie__,Pomorskie__,Śląskie__,Świętokrzyskie__,Warmińsko-Mazurskie__,Wielkopolskie__,Zachodniopomorskie__
2010,376.24,339.48,362.46,253.05,360.56,382.81,311.10,354.79,389.38,366.19,311.73,474.69,366.66,549.88,358.65,316.13,753.17,180.25,11.58,8.17,6.72,3.84,13.22,9.95,20.91,5.42,10.25,4.25,13.78,24.45,9.64,6.64,14.25,17.21,58.82,4.76,4.38,2.39,2.25,2.87,7.15,9.86,1.12,2.61,1.95,4.00,3.60,2.02,1.97,3.70,4.22
2011,396.99,378.26,317.26,314.26,363.32,646.94,416.64,305.47,415.05,305.38,268.32,413.84,384.00,683.59,346.13,423.41,506.13,200.58,12.91,8.48,8.79,3.72,25.91,13.13,21.63,5.20,8.60,4.06,12.44,24.88,13.01,6.44,19.50,11.88,51.74,5.29,2.50,2.48,2.41,1.18,9.83,4.95,1.75,2.12,1.26,3.13,4.45,1.43,1.86,4.60,2.51
2012,335.18,321.18,278.59,300.54,287.09,497.17,333.83,236.69,461.05,294.19,295.82,348.78,381.92,590.16,346.60,301.78,296.71,167.08,10.41,7.64,8.86,3.41,19.66,11.59,16.25,5.57,7.77,5.11,8.69,24.14,11.37,6.96,13.27,6.40,45.99,5.03,2.01,1.90,1.44,1.08,6.87,4.42,2.13,2.56,0.75,4.46,4.97,1.05,1.34,3.95,2.03
2013,361.29,341.39,235.21,234.88,300.90,460.84,401.62,339.00,559.65,354.45,253.60,378.24,468.80,643.28,298.69,244.00,324.79,179.02,9.77,6.34,6.35,3.61,17.95,14.28,25.44,6.59,9.57,4.01,10.44,28.91,12.16,5.68,10.76,7.15,50.47,6.62,1.78,2.02,1.47,1.19,7.96,4.24,2.70,2.88,1.00,3.86,6.72,1.32,1.46,3.19,2.06
2014,469.02,634.47,390.82,385.06,475.50,421.82,520.41,483.09,660.81,258.52,369.91,400.95,570.00,596.78,268.96,490.80,379.10,235.06,17.64,10.95,11.55,6.01,15.89,20.10,35.48,7.16,5.88,6.17,12.55,37.25,11.39,4.28,23.67,9.09,62.71,12.81,2.53,2.12,2.00,1.56,8.78,6.96,3.77,3.20,1.11,2.66,5.95,1.07,2.14,4.42,1.65
2015,479.91,615.23,446.65,268.04,519.84,378.01,598.28,494.92,656.63,295.65,349.74,458.39,535.06,416.20,242.89,622.14,456.85,250.10,19.31,13.32,7.98,7.09,13.40,26.99,36.38,6.84,8.18,6.26,13.97,33.04,7.69,4.60,33.35,11.68,54.35,10.18,2.07,1.50,1.65,2.18,6.28,7.22,3.98,2.20,0.60,3.45,7.37,0.96,1.18,2.30,1.23
2016,213.58,227.11,180.23,85.91,204.33,242.72,271.84,227.76,421.52,138.05,115.41,199.25,308.33,177.36,76.22,190.74,190.58,107.51,5.18,5.25,2.35,3.10,8.98,12.42,16.55,4.50,3.61,1.86,6.64,18.65,3.36,1.39,9.09,4.59,27.89,5.70,0.95,0.68,0.32,0.99,2.72,3.58,2.41,1.23,0.40,0.96,4.56,0.31,0.42,1.85,0.78
2017,231.41,257.02,178.46,109.09,203.66,260.38,178.36,206.44,273.23,224.14,181.64,275.34,360.67,129.42,103.41,194.52,435.69,112.60,5.21,4.96,2.71,2.59,9.52,8.18,13.74,3.43,6.24,2.69,9.31,19.08,1.99,1.95,9.53,11.46,34.08,7.10,1.17,1.12,0.83,1.13,1.78,4.56,1.04,1.63,0.86,1.22,8.01,0.68,0.50,1.65,0.81
2018,334.78,390.12,238.23,401.32,263.04,340.43,286.98,336.80,349.89,329.26,360.78,319.94,420.39,289.83,170.79,293.85,425.77,171.44,11.48,6.91,12.46,3.67,12.26,13.62,24.37,4.48,9.72,5.13,10.01,24.61,4.72,3.15,14.27,10.56,40.71,7.19,1.26,1.58,0.73,1.62,2.46,5.58,1.23,1.84,1.90,2.28,6.88,1.23,0.88,2.65,1.41
