REGION,PARAM,2020,2021,2022,2023,2024,2025
Polska,Cynk,121.4,x,14.6,1.5,x,x
Dolnośląskie,Cynk,x,x,x,x,,
Kujawsko-Pomorskie,Cynk,x,x,x,x,,
Lubelskie,Cynk,x,x,x,x,,
Lubuskie,Cynk,x,x,x,x,,
Łódzkie,Cynk,x,x,x,x,,
Małopolskie,Cynk,x,x,x,x,,
Mazowieckie,Cynk,x,x,x,x,,
Opolskie,Cynk,x,x,x,x,,
Podkarpackie,Cynk,x,x,x,x,,
Podlaskie,Cynk,x,x,x,x,,
Pomorskie,Cynk,41.9,x,x,x,,
Śląskie,Cynk,x,x,x,x,,
Świętokrzyskie,Cynk,x,x,x,x,,
Warmińsko-Mazurskie,Cynk,2.6,x,x,x,,
Wielkopolskie,Cynk,x,x,x,x,,
Zachodniopomorskie,Cynk,77.0,x,14.6,1.5,,
Polska,Miedź,65.3,x,10.8,2.4,,
Dolnośląskie,Miedź,x,x,x,x,x,x
Kujawsko-Pomorskie,Miedź,x,x,x,x,x,x
Lubelskie,Miedź,x,x,x,x,x,x
Lubuskie,Miedź,x,x,x,x,x,x
Łódzkie,Miedź,x,x,x,x,x,x
Małopolskie,Miedź,x,x,x,x,x,x
Mazowieckie,Miedź,x,x,x,x,x,x
Opolskie,Miedź,x,x,x,x,x,x
Podkarpackie,Miedź,x,x,x,x,x,x
Podlaskie,Miedź,x,x,x,x,x,x
Pomorskie,Miedź,x,x,x,x,x,x
Śląskie,Miedź,x,x,x,x,x,x
Świętokrzyskie,Miedź,x,x,x,x,x,x
Warmińsko-Mazurskie,Miedź,x,x,x,x,x,x
Wielkopolskie,Miedź,x,x,x,x,x,x
Zachodniopomorskie,Miedź,x,x,x,x,x,x
Polska,Ołów,1.7,12.7,4.1,0.1,,
Dolnośląskie,Ołów,x,x,x,x,,
Kujawsko-Pomorskie,Ołów,x,x,x,x,,
Lubelskie,Ołów,x,x,x,x,,
Lubuskie,Ołów,x,x,x,x,,
Łódzkie,Ołów,x,x,x,x,,
Małopolskie,Ołów,x,x,x,x,,
Mazowieckie,Ołów,x,x,x,x,,
Opolskie,Ołów,x,x,x,x,,
Podkarpackie,Ołów,x,x,x,x,,
Podlaskie,Ołów,x,x,x,x,,
Pomorskie,Ołów,1.4,10.7,3.9,x,,
Śląskie,Ołów,x,x,x,x,,
Świętokrzyskie,Ołów,x,x,x,x,,
Warmińsko-Mazurskie,Ołów,0.2,0.1,0.1,0.1,,
Wielkopolskie,Ołów,x,x,x,x,,
Zachodniopomorskie,Ołów,0.1,1.9,0.2,0.1,,
Polska,Kadm,0.8,0.3,0.3,0.3,,
Dolnośląskie,Kadm,x,x,x,x,,
Kujawsko-Pomorskie,Kadm,x,x,x,x,,
Lubelskie,Kadm,x,x,x,x,,
Lubuskie,Kadm,x,x,x,x,,
Łódzkie,Kadm,x,x,x,x,,
Małopolskie,Kadm,x,x,x,x,,
Mazowieckie,Kadm,x,x,x,x,,
Opolskie,Kadm,x,x,x,x,,
Podkarpackie,Kadm,x,x,x,x,,
Podlaskie,Kadm,x,x,x,x,,
Pomorskie,Kadm,0.4,0.1,0.1,x,,
Śląskie,Kadm,x,x,x,x,,
Świętokrzyskie,Kadm,x,x,x,x,,
Warmińsko-Mazurskie,Kadm,x,x,x,x,,
Wielkopolskie,Kadm,x,x,x,x,,
Zachodniopomorskie,Kadm,0.4,0.2,0.2,0.3,,
Polska,Chrom,4.2,x,x,x,,
Dolnośląskie,Chrom,x,x,x,x,,
Kujawsko-Pomorskie,Chrom,x,x,x,x,,
Lubelskie,Chrom,x,x,x,x,,
Lubuskie,Chrom,x,x,x,x,,
Łódzkie,Chrom,x,x,x,x,,
Małopolskie,Chrom,x,x,x,x,,
Mazowieckie,Chrom,x,x,x,x,,
Opolskie,Chrom,x,x,x,x,,
Podkarpackie,Chrom,x,x,x,x,,
Podlaskie,Chrom,x,x,x,x,,
Pomorskie,Chrom,4.2,x,x,x,,
Śląskie,Chrom,x,x,x,x,,
Świętokrzyskie,Chrom,x,x,x,x,,
Warmińsko-Mazurskie,Chrom,x,x,x,x,,
Wielkopolskie,Chrom,x,x,x,x,,
Zachodniopomorskie,Chrom,x,x,x,x,,
Polska,Nikiel,63.5,84.9,50.1,68.0,,
Dolnośląskie,Nikiel,x,x,x,x,,
Kujawsko-Pomorskie,Nikiel,x,x,x,x,,
Lubelskie,Nikiel,x,x,x,x,,
Lubuskie,Nikiel,x,x,x,x,,
Łódzkie,Nikiel,x,x,x,x,,
Małopolskie,Nikiel,x,x,x,x,,
Mazowieckie,Nikiel,x,x,x,x,,
Opolskie,Nikiel,x,x,x,x,,
Podkarpackie,Nikiel,x,x,x,x,,
Podlaskie,Nikiel,x,x,x,x,,
Pomorskie,Nikiel,35.8,53.9,35.5,46.5,,
Śląskie,Nikiel,x,x,x,x,,
Świętokrzyskie,Nikiel,x,x,x,x,,
Warmińsko-Mazurskie,Nikiel,0.3,0.1,0.1,0.1,,
Wielkopolskie,Nikiel,x,x,x,x,,
Zachodniopomorskie,Nikiel,27.4,31.0,14.5,21.4,,
Polska,Rtęć,0.2,0.4,x,x,,
Dolnośląskie,Rtęć,x,x,x,x,,
Kujawsko-Pomorskie,Rtęć,x,x,x,x,,
Lubelskie,Rtęć,x,x,x,x,,
Lubuskie,Rtęć,x,x,x,x,,
Łódzkie,Rtęć,x,x,x,x,,
Małopolskie,Rtęć,x,x,x,x,,
Mazowieckie,Rtęć,x,x,x,x,,
Opolskie,Rtęć,x,x,x,x,,
Podkarpackie,Rtęć,x,x,x,x,,
Podlaskie,Rtęć,x,x,x,x,,
Pomorskie,Rtęć,x,x,x,x,,
Śląskie,Rtęć,x,x,x,x,,
Świętokrzyskie,Rtęć,x,x,x,x,,
Warmińsko-Mazurskie,Rtęć,x,x,x,x,,
Wielkopolskie,Rtęć,x,x,x,x,,
Zachodniopomorskie,Rtęć,0.2,0.4,x,x,,
